model_label,unit_id,evaluation,temporal_ms,spatial_support,n_channels,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_w96_om1_s0,94,crossfit,0.5,endpoint,19.5,1.5624084759738728,1.3686678651853366,-0.1937406107885363,0.8719500005245209,0.8452000021934509
ib_w96_om1_s0,94,crossfit,0.5,top1,1.0,2.4779979240653462,2.198904617095301,-0.279093306970045,0.9547249972820282,0.935699999332428
ib_w96_om1_s0,94,crossfit,0.5,top16,16.0,1.686120483051265,1.4702673772953307,-0.2158531057559343,0.8834500014781952,0.8551500141620636
ib_w96_om1_s0,94,crossfit,0.5,top2,2.0,2.785209818302704,2.4064105820272026,-0.3787992362755017,0.9694499969482422,0.9499000012874604
ib_w96_om1_s0,94,crossfit,0.5,top24,24.0,1.4336435933310736,1.2572546370527418,-0.1763889562783319,0.8525000214576721,0.8275000154972076
ib_w96_om1_s0,94,crossfit,0.5,top4,4.0,2.7640751389847766,2.4235086322283657,-0.340566506756411,0.9696000218391418,0.9526500105857848
ib_w96_om1_s0,94,crossfit,0.5,top8,8.0,2.040532630425577,1.7988604190620057,-0.2416722113635712,0.9205500185489656,0.8976500034332275
ib_w96_om1_s0,94,crossfit,1.0,endpoint,19.5,1.3797887526471886,1.2002580537989376,-0.179530698848251,0.8516999781131744,0.8218500018119812
ib_w96_om1_s0,94,crossfit,1.0,top1,1.0,2.466916892724977,2.171086702224812,-0.295830190500165,0.9537500143051147,0.9330500066280364
ib_w96_om1_s0,94,crossfit,1.0,top16,16.0,1.4579569977586364,1.2721229221837325,-0.1858340755749038,0.8561500012874603,0.82914999127388
ib_w96_om1_s0,94,crossfit,1.0,top2,2.0,2.772671904258412,2.369546248630181,-0.4031256556282305,0.9688500165939332,0.9472000002861024
ib_w96_om1_s0,94,crossfit,1.0,top24,24.0,1.2820335443325306,1.1214198926680332,-0.1606136516644973,0.832099974155426,0.8048999905586243
ib_w96_om1_s0,94,crossfit,1.0,top4,4.0,2.7601727475804285,2.3936269661131253,-0.3665457814673034,0.9681000113487244,0.9501999914646148
ib_w96_om1_s0,94,crossfit,1.0,top8,8.0,1.8093238710909083,1.6205184461101831,-0.1888054249807251,0.8967000246047974,0.8755500018596649
ib_w96_om1_s0,94,crossfit,2.0,endpoint,19.5,0.8501491026240082,0.7236505815669405,-0.1264985210570676,0.7361999750137329,0.7029500007629395
ib_w96_om1_s0,94,crossfit,2.0,top1,1.0,2.3733910220332666,2.0665612772541277,-0.3068297447791394,0.9501000046730042,0.9268500208854676
ib_w96_om1_s0,94,crossfit,2.0,top16,16.0,0.8751651730630012,0.7544261445963222,-0.120739028466679,0.740449994802475,0.7121000289916992
ib_w96_om1_s0,94,crossfit,2.0,top2,2.0,2.679259423030617,2.2803800084218024,-0.3988794146088144,0.9661999940872192,0.944700002670288
ib_w96_om1_s0,94,crossfit,2.0,top24,24.0,0.7943340584106444,0.67666746166788,-0.1176665967427644,0.7229500114917755,0.692249983549118
ib_w96_om1_s0,94,crossfit,2.0,top4,4.0,2.692908814348338,2.3170451989650624,-0.3758636153832757,0.9686499834060668,0.9492499828338624
ib_w96_om1_s0,94,crossfit,2.0,top8,8.0,1.2897431500064402,1.1810205043267468,-0.1087226456796933,0.8192499876022339,0.7962499856948853
ib_w96_om1_s0,94,crossfit,3.0,endpoint,19.5,0.7237724503473849,0.6078296860093376,-0.1159427643380472,0.7088000178337097,0.6780999898910522
ib_w96_om1_s0,94,crossfit,3.0,top1,1.0,2.355301508651281,2.0313751255350447,-0.3239263831162361,0.948850005865097,0.9228499829769136
ib_w96_om1_s0,94,crossfit,3.0,top16,16.0,0.7546776495244667,0.6409322094104435,-0.1137454401140232,0.7159500122070312,0.6849000155925751
ib_w96_om1_s0,94,crossfit,3.0,top2,2.0,2.6697200260339238,2.243989878545281,-0.4257301474886421,0.9650500118732452,0.9416999816894532
ib_w96_om1_s0,94,crossfit,3.0,top24,24.0,0.6625478198075451,0.5639340293518476,-0.0986137904556975,0.6944499909877777,0.6702999770641327
ib_w96_om1_s0,94,crossfit,3.0,top4,4.0,2.674543638689726,2.290520184243072,-0.3840234544466534,0.9672499895095824,0.9462999999523164
ib_w96_om1_s0,94,crossfit,3.0,top8,8.0,1.1291658139927878,1.0194884994331908,-0.109677314559597,0.7895000278949738,0.7649500072002411
ib_w96_om1_s0,94,crossfit,4.0,endpoint,19.5,0.702472955678171,0.5933222003212982,-0.1091507553568728,0.6985499858856201,0.6677000224590302
ib_w96_om1_s0,94,crossfit,4.0,top1,1.0,2.343659802126102,1.9861524666842376,-0.3575073354418642,0.9481500089168547,0.9180999994277954
ib_w96_om1_s0,94,crossfit,4.0,top16,16.0,0.7474014049130486,0.6353073231464972,-0.1120940817665513,0.709449976682663,0.6772499978542328
ib_w96_om1_s0,94,crossfit,4.0,top2,2.0,2.6590658933824987,2.211928425784995,-0.4471374675975035,0.9650999903678894,0.9393999874591829
ib_w96_om1_s0,94,crossfit,4.0,top24,24.0,0.6346674668037344,0.5447724767349551,-0.0898949900687792,0.6830999851226807,0.6596499979496002
ib_w96_om1_s0,94,crossfit,4.0,top4,4.0,2.6742394376372034,2.2691522699646702,-0.4050871676725334,0.9679499864578248,0.9460500180721284
ib_w96_om1_s0,94,crossfit,4.0,top8,8.0,1.095445548188311,0.98852924218547,-0.106916306002841,0.7801999747753143,0.7561500072479248
ib_w96_om1_s0,94,in_sample,0.5,endpoint,12.0,2.422512330351859,2.155833073658824,-0.2666792566930351,0.955049991607666,0.937250018119812
ib_w96_om1_s0,94,in_sample,0.5,top1,1.0,2.481192303886184,2.1886095549347933,-0.2925827489513906,0.955049991607666,0.9353500008583068
ib_w96_om1_s0,94,in_sample,0.5,top16,16.0,2.2447693300214646,1.9991525136912125,-0.2456168163302523,0.9474499821662904,0.9287999868392944
ib_w96_om1_s0,94,in_sample,0.5,top2,2.0,2.7893552286732195,2.3947402533494486,-0.3946149753237709,0.970300018787384,0.9502500295639038
ib_w96_om1_s0,94,in_sample,0.5,top24,24.0,1.8114163539149932,1.605278820139047,-0.2061375337759463,0.9118499755859376,0.8847500085830688
ib_w96_om1_s0,94,in_sample,0.5,top4,4.0,2.766056787337067,2.4145118083439265,-0.3515449789931404,0.9693999886512756,0.9521999955177308
