model_label,unit_id,evaluation,fold,temporal_ms,temporal_samples,spatial_support,n_channels,n_train_hits,n_test_hits,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,endpoint,3,100,100,12.641381253801194,13.842379664151371,1.200998410350179,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top1,1,100,100,10.923085019105216,13.407820185071248,2.4847351659660326,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top2,2,100,100,12.870688580823323,14.412871207013096,1.5421826261897706,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top4,4,100,100,12.289496928744,13.485806613195624,1.1963096844516254,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top8,8,100,100,11.645331729419588,12.355667319660371,0.7103355902407849,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top16,16,100,100,10.82023875923332,11.453937063468866,0.633698304235546,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,0.5,15,top24,24,100,100,9.86638381072791,10.389742362812752,0.5233585520848418,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,endpoint,3,100,100,12.3214372513238,13.377528170633294,1.0560909193094936,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top1,1,100,100,10.867043226959016,13.29655985829929,2.429516631340274,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top2,2,100,100,12.62108922657712,13.932649815453026,1.3115605888759063,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top4,4,100,100,11.999585413904846,13.039714087113964,1.040128673209118,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top8,8,100,100,11.276100415774978,11.860803175572428,0.5847027597974499,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top16,16,100,100,10.129538792873406,10.599257846910833,0.4697190540374247,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,1.0,30,top24,24,100,100,6.898882859137919,7.042721353354361,0.1438384942164425,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,endpoint,3,100,100,12.495019295920414,13.469478380350818,0.9744590844304036,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top1,1,100,100,10.916194764646022,13.419705358818716,2.5035105941726936,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top2,2,100,100,12.775116309249192,13.967135266211152,1.1920189569619597,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top4,4,100,100,12.146826238636988,13.125041368085077,0.9782151294480884,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top8,8,100,100,11.368195073930686,11.919356963898418,0.551161889967732,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top16,16,100,100,9.698855745896282,10.072157093387917,0.3733013474916351,1.0,1.0
ib_w96_om1_s0,2143,in_sample,-1,2.0,60,top24,24,100,100,6.161230066719633,6.266913876727285,0.105683810007652,0.9999499917030334,0.9999499917030334
ib_w96_om1_s0,2143,in_sample,-1,3.0,90,endpoint,3,100,100,12.511967588571148,13.506374773848089,0.9944071852769412,1.0,1.0
