model_label,evaluation,cell,temporal_ms,spatial_support,mean_n_channels,dprime_raw,dprime_deep,ddprime,units_improved,weak4_ddprime,other6_ddprime
ib_w96_om1_s0,crossfit,frozen_endpoint,4.0,endpoint,8.8,3.4596441944256107,3.458373744496069,-0.001270449929541151,2,-0.09646895738826664,0.06219522170960917
ib_w96_om1_s0,crossfit,top2_4ms,4.0,top2,2.0,4.604363810615881,4.5681626762993774,-0.036201134316503666,2,-0.30479204393412745,0.14285947209524552
ib_w96_om1_s0,crossfit,top2_2ms,2.0,top2,2.0,4.644513918944951,4.6134785312992825,-0.03103538764566991,2,-0.29006858854076323,0.141653412951059
ib_w96_om1_s0,crossfit,top2_1ms,1.0,top2,2.0,4.542624286974041,4.632957753395589,0.09033346642154735,3,-0.29069761887654455,0.3443541899536086
ib_w96_om1_s0,crossfit,top2_0.5ms,0.5,top2,2.0,4.51783802418974,4.614741637779743,0.0969036135900035,4,-0.28932490337400957,0.35438929156601223
ib_w96_om1_s0,crossfit,top1_1ms,1.0,top1,1.0,4.348291067267664,4.497310780934184,0.14901971366652067,4,-0.3817384385842585,0.5028584818337068
ib_origdi_s0,in_sample,frozen_endpoint,4.0,endpoint,5.4,4.496968895228467,4.124531922866414,-0.37243697236205264,1,-0.5357692729681067,-0.26354877195801674
ib_origdi_s0,in_sample,top2_4ms,4.0,top2,2.0,4.881543325359387,4.447060884710188,-0.43448244064919983,2,-0.7437957300555833,-0.2282735810449442
ib_origdi_s0,in_sample,top2_2ms,2.0,top2,2.0,4.852651444195155,4.437375665813113,-0.4152757783820421,2,-0.7053707637056041,-0.22187912149966738
ib_origdi_s0,in_sample,top2_1ms,1.0,top2,2.0,4.712185312525959,4.470068942481934,-0.24211637004402436,2,-0.691982090423552,0.05779411020899411
ib_origdi_s0,in_sample,top2_0.5ms,0.5,top2,2.0,4.671888699314472,4.437173733880484,-0.2347149654339878,2,-0.7358323018539109,0.09936325884596105
ib_origdi_s0,in_sample,top1_1ms,1.0,top1,1.0,4.443492779350523,4.251474648369305,-0.19201813098121828,3,-0.8044253260728003,0.21625333241316977
ib_origdi_s0,crossfit,frozen_endpoint,4.0,endpoint,8.8,3.4596441944256107,3.2658624030298204,-0.19378179139579005,1,-0.2074202866589451,-0.18468946122035335
ib_origdi_s0,crossfit,top2_4ms,4.0,top2,2.0,4.604363810615881,4.282049470226797,-0.32231434038908374,2,-0.5773712157293327,-0.15227642349558448
ib_origdi_s0,crossfit,top2_2ms,2.0,top2,2.0,4.644513918944951,4.3216111726396225,-0.32290274630532895,2,-0.5703957195372997,-0.15790743081734845
ib_origdi_s0,crossfit,top2_1ms,1.0,top2,2.0,4.542624286974041,4.37238156687898,-0.1702427200950612,2,-0.5866017443805193,0.1073299627619108
ib_origdi_s0,crossfit,top2_0.5ms,0.5,top2,2.0,4.51783802418974,4.3582690251463605,-0.159568999043379,2,-0.6006140768249852,0.1344610528110251
ib_origdi_s0,crossfit,top1_1ms,1.0,top1,1.0,4.348291067267664,4.20625111943202,-0.1420399478356436,3,-0.7779432397099418,0.2818955800805553
