model_label,unit_id,evaluation,fold,temporal_ms,temporal_samples,spatial_support,n_channels,n_train_hits,n_test_hits,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_w96_om0_s0,2143,crossfit,0,0.5,15,top2,2,50,50,13.56789691584416,14.37809133061294,0.8101944147687821,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,0.5,15,top4,4,50,50,12.939878336262716,13.595747821108978,0.6558694848462601,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,0.5,15,top8,8,50,50,12.425362817983483,12.769489949185694,0.3441271312022103,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,0.5,15,top16,16,50,50,10.801122993441444,11.038288706659584,0.2371657132181397,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,0.5,15,top24,24,50,50,9.350511148702624,9.481950423953611,0.1314392752509903,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,endpoint,3,50,50,12.554912797660524,13.145864481093172,0.5909516834326478,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top1,1,50,50,9.551800441530578,10.331065656551964,0.7792652150213861,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top2,2,50,50,13.07654638456359,13.706782678620456,0.630236294056866,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top4,4,50,50,12.38101619901946,12.95449794082736,0.5734817418078979,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top8,8,50,50,11.850225091883168,12.18281320210868,0.3325881102255117,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top16,16,50,50,7.66683543571433,7.756736565847017,0.089901130132687,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,1.0,30,top24,24,50,50,5.592311940866056,5.610630398977627,0.0183184581115716,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,endpoint,3,50,50,12.715503045004109,13.241293611021204,0.5257905660170952,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top1,1,50,50,9.71741464194987,10.475055274658793,0.757640632708922,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top2,2,50,50,13.224101719863633,13.79892863539037,0.5748269155267387,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top4,4,50,50,12.480581350824712,13.009827472883254,0.5292461220585416,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top8,8,50,50,11.904373177273715,12.222654329494768,0.3182811522210524,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top16,16,50,50,7.347144660883958,7.423059644084701,0.075914983200743,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,2.0,60,top24,24,50,50,5.315765602086494,5.32825733264144,0.0124917305549461,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,endpoint,3,50,50,12.729487997859836,13.244539364703936,0.5150513668441015,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top1,1,50,50,9.701834016517656,10.465332083601728,0.7634980670840719,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top2,2,50,50,13.234221505017304,13.804743345027774,0.5705218400104695,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top4,4,50,50,12.49705817984008,13.008730230211622,0.5116720503715406,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top8,8,50,50,11.866261950946804,12.168566625350245,0.302304674403441,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top16,16,50,50,5.7739643260645055,5.846481273289615,0.0725169472251092,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,3.0,90,top24,24,50,50,3.967421561773636,3.99314532631711,0.025723764543474,0.9988999962806702,0.9990000128746032
ib_w96_om0_s0,2143,crossfit,0,4.0,120,endpoint,3,50,50,12.763414216730936,13.285696943858207,0.5222827271272728,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top1,1,50,50,9.7582371815942,10.511140217764796,0.7529030361705953,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top2,2,50,50,13.295687708875192,13.859162550547218,0.5634748416720257,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top4,4,50,50,12.530268889526026,13.048955751835017,0.5186868623089893,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top8,8,50,50,11.879283127382193,12.186175537415862,0.3068924100336705,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top16,16,50,50,5.583387253346498,5.653023133962924,0.0696358806164259,1.0,1.0
ib_w96_om0_s0,2143,crossfit,0,4.0,120,top24,24,50,50,3.505374856624385,3.5277538886125983,0.0223790319882133,0.9944000244140624,0.9944000244140624
ib_w96_om0_s0,2143,crossfit,1,0.5,15,endpoint,3,50,50,12.194526771820987,12.60686388459814,0.4123371127771538,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top1,1,50,50,10.288746245962356,11.013282239046584,0.7245359930842294,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top2,2,50,50,12.290475186819636,12.828598877379632,0.5381236905599955,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top4,4,50,50,11.730419203193934,12.081337458662286,0.3509182554683523,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top8,8,50,50,11.008048307062118,11.178505867832362,0.1704575607702434,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top16,16,50,50,9.76170494446496,9.875189213201311,0.1134842687363519,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,0.5,15,top24,24,50,50,8.523578639253788,8.62158903713478,0.0980103978809925,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,endpoint,3,50,50,12.12320370302793,12.4335356380601,0.3103319350321705,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top1,1,50,50,10.37268096116697,11.110926032764311,0.7382450715973405,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top2,2,50,50,12.223370596634023,12.679432521120267,0.456061924486244,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top4,4,50,50,11.658549259529352,11.9148858913581,0.2563366318287468,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top8,8,50,50,10.818299221104796,10.890787697785235,0.072488476680439,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top16,16,50,50,7.839804785226534,7.894159273953608,0.0543544887270748,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,1.0,30,top24,24,50,50,6.497952046977662,6.528899901554887,0.0309478545772243,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,endpoint,3,50,50,12.264501913215758,12.53057968941921,0.2660777762034509,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top1,1,50,50,10.536979975549992,11.24574205377936,0.7087620782293698,1.0,1.0
ib_w96_om0_s0,2143,crossfit,1,2.0,60,top2,2,50,50,12.356023133828849,12.75056154379442,0.3945384099655715,1.0,1.0
