model_label,unit_id,evaluation,temporal_ms,spatial_support,n_channels,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_origdi_s0,94,crossfit,0.5,endpoint,19.5,1.5624084759738728,1.091257437141206,-0.4711510388326667,0.8719500005245209,0.8037999868392944
ib_origdi_s0,94,crossfit,0.5,top1,1.0,2.4779979240653462,1.936312947921396,-0.5416849761439501,0.9547249972820282,0.915450006723404
ib_origdi_s0,94,crossfit,0.5,top16,16.0,1.686120483051265,1.1770594618897352,-0.5090610211615297,0.8834500014781952,0.8147000074386597
ib_origdi_s0,94,crossfit,0.5,top2,2.0,2.785209818302704,2.1318519952633093,-0.6533578230393948,0.9694499969482422,0.9312500059604644
ib_origdi_s0,94,crossfit,0.5,top24,24.0,1.4336435933310736,1.0178555332861856,-0.4157880600448881,0.8525000214576721,0.785649985074997
ib_origdi_s0,94,crossfit,0.5,top4,4.0,2.7640751389847766,2.118908028080756,-0.6451671109040205,0.9696000218391418,0.93189999461174
ib_origdi_s0,94,crossfit,0.5,top8,8.0,2.040532630425577,1.487738809124546,-0.5527938213010308,0.9205500185489656,0.8611499965190887
ib_origdi_s0,94,crossfit,1.0,endpoint,19.5,1.3797887526471886,0.9623355894028532,-0.4174531632443356,0.8516999781131744,0.77674999833107
ib_origdi_s0,94,crossfit,1.0,top1,1.0,2.466916892724977,1.892946201544401,-0.5739706911805759,0.9537500143051147,0.9111500084400176
ib_origdi_s0,94,crossfit,1.0,top16,16.0,1.4579569977586364,1.0151019599745514,-0.4428550377840849,0.8561500012874603,0.7843499779701233
ib_origdi_s0,94,crossfit,1.0,top2,2.0,2.772671904258412,2.0918874494143003,-0.6807844548441111,0.9688500165939332,0.9280499815940856
ib_origdi_s0,94,crossfit,1.0,top24,24.0,1.2820335443325306,0.9138268632327404,-0.3682066810997901,0.832099974155426,0.7657999992370605
ib_origdi_s0,94,crossfit,1.0,top4,4.0,2.7601727475804285,2.078905739028655,-0.6812670085517736,0.9681000113487244,0.9275500178337096
ib_origdi_s0,94,crossfit,1.0,top8,8.0,1.8093238710909083,1.3023287751739432,-0.506995095916965,0.8967000246047974,0.8360500037670135
ib_origdi_s0,94,crossfit,2.0,endpoint,19.5,0.8501491026240082,0.5943594498596874,-0.2557896527643208,0.7361999750137329,0.667849987745285
ib_origdi_s0,94,crossfit,2.0,top1,1.0,2.3733910220332666,1.7495960612859986,-0.6237949607472679,0.9501000046730042,0.8953999876976013
ib_origdi_s0,94,crossfit,2.0,top16,16.0,0.8751651730630012,0.609851758625538,-0.2653134144374632,0.740449994802475,0.67289999127388
ib_origdi_s0,94,crossfit,2.0,top2,2.0,2.679259423030617,1.9588088637370025,-0.7204505592936145,0.9661999940872192,0.9185500144958496
ib_origdi_s0,94,crossfit,2.0,top24,24.0,0.7943340584106444,0.5696698602244146,-0.2246641981862299,0.7229500114917755,0.6622999906539917
ib_origdi_s0,94,crossfit,2.0,top4,4.0,2.692908814348338,1.9534750752551664,-0.7394337390931716,0.9686499834060668,0.9192000031471252
ib_origdi_s0,94,crossfit,2.0,top8,8.0,1.2897431500064402,0.9269506795030912,-0.362792470503349,0.8192499876022339,0.7513000071048737
ib_origdi_s0,94,crossfit,3.0,endpoint,19.5,0.7237724503473849,0.4906268522767903,-0.2331455980705945,0.7088000178337097,0.646399974822998
ib_origdi_s0,94,crossfit,3.0,top1,1.0,2.355301508651281,1.6990641102705994,-0.6562373983806813,0.948850005865097,0.886350005865097
ib_origdi_s0,94,crossfit,3.0,top16,16.0,0.7546776495244667,0.5075883034628758,-0.2470893460615909,0.7159500122070312,0.6532000005245209
ib_origdi_s0,94,crossfit,3.0,top2,2.0,2.6697200260339238,1.9133032767268043,-0.7564167493071192,0.9650500118732452,0.9129500091075896
ib_origdi_s0,94,crossfit,3.0,top24,24.0,0.6625478198075451,0.4673856963534474,-0.1951621234540976,0.6944499909877777,0.6436500251293182
ib_origdi_s0,94,crossfit,3.0,top4,4.0,2.674543638689726,1.912076805607713,-0.7624668330820125,0.9672499895095824,0.9149500131607056
ib_origdi_s0,94,crossfit,3.0,top8,8.0,1.1291658139927878,0.7869172614034476,-0.3422485525893403,0.7895000278949738,0.7188500165939331
ib_origdi_s0,94,crossfit,4.0,endpoint,19.5,0.702472955678171,0.482083309200967,-0.220389646477204,0.6985499858856201,0.638049989938736
ib_origdi_s0,94,crossfit,4.0,top1,1.0,2.343659802126102,1.643633018810444,-0.7000267833156579,0.9481500089168547,0.8760499954223633
ib_origdi_s0,94,crossfit,4.0,top16,16.0,0.7474014049130486,0.5094084583473444,-0.2379929465657042,0.709449976682663,0.647599995136261
ib_origdi_s0,94,crossfit,4.0,top2,2.0,2.6590658933824987,1.8752955145002057,-0.7837703788822927,0.9650999903678894,0.908950001001358
ib_origdi_s0,94,crossfit,4.0,top24,24.0,0.6346674668037344,0.4522505926845089,-0.1824168741192254,0.6830999851226807,0.6352999806404114
ib_origdi_s0,94,crossfit,4.0,top4,4.0,2.6742394376372034,1.881175356242714,-0.7930640813944894,0.9679499864578248,0.9144000113010406
ib_origdi_s0,94,crossfit,4.0,top8,8.0,1.095445548188311,0.7722597553900498,-0.3231857927982611,0.7801999747753143,0.7129999995231628
ib_origdi_s0,94,in_sample,0.5,endpoint,12.0,2.422512330351859,1.866060102129655,-0.556452228222204,0.955049991607666,0.911400020122528
ib_origdi_s0,94,in_sample,0.5,top1,1.0,2.481192303886184,1.9278985186369368,-0.5532937852492472,0.955049991607666,0.91525000333786
ib_origdi_s0,94,in_sample,0.5,top16,16.0,2.2447693300214646,1.6747966071838365,-0.5699727228376281,0.9474499821662904,0.8942999839782715
ib_origdi_s0,94,in_sample,0.5,top2,2.0,2.7893552286732195,2.1261984321392284,-0.6631567965339911,0.970300018787384,0.9315999746322632
ib_origdi_s0,94,in_sample,0.5,top24,24.0,1.8114163539149932,1.329430958896192,-0.4819853950188015,0.9118499755859376,0.8446000218391418
ib_origdi_s0,94,in_sample,0.5,top4,4.0,2.766056787337067,2.114766579081496,-0.6512902082555709,0.9693999886512756,0.9325000047683716
ib_origdi_s0,94,in_sample,0.5,top8,8.0,2.4923622946706683,1.9284864068876988,-0.5638758877829695,0.9577500224113464,0.916599988937378
ib_origdi_s0,94,in_sample,1.0,endpoint,12.0,2.4392118600690007,1.8473572390812372,-0.5918546209877633,0.9570000171661376,0.9081000089645386
ib_origdi_s0,94,in_sample,1.0,top1,1.0,2.490824552719028,1.8973315855598287,-0.5934929671591991,0.95455002784729,0.9128999710083008
ib_origdi_s0,94,in_sample,1.0,top16,16.0,2.244112047196332,1.6831324810839934,-0.5609795661123387,0.9495999813079834,0.8953499794006348
ib_origdi_s0,94,in_sample,1.0,top2,2.0,2.7863404921358272,2.0972672543859296,-0.6890732377498976,0.9689499735832214,0.9282000064849854
ib_origdi_s0,94,in_sample,1.0,top24,24.0,1.7801180731693316,1.3448895000804288,-0.4352285730889027,0.9132500290870668,0.8483999967575073
ib_origdi_s0,94,in_sample,1.0,top4,4.0,2.777592682771075,2.087843687428012,-0.6897489953430633,0.9688000082969666,0.9297500252723694
ib_origdi_s0,94,in_sample,1.0,top8,8.0,2.5020884356897737,1.8970031925202968,-0.6050852431694769,0.958899974822998,0.9133999943733216
ib_origdi_s0,94,in_sample,2.0,endpoint,12.0,2.3875918941244563,1.778667785513014,-0.6089241086114423,0.9650499820709229,0.9103500247001648
ib_origdi_s0,94,in_sample,2.0,top1,1.0,2.448878788457918,1.7730517809943016,-0.6758270074636166,0.9541000127792358,0.901449978351593
ib_origdi_s0,94,in_sample,2.0,top16,16.0,2.103968739145293,1.5740541186116916,-0.5299146205336018,0.9464499950408936,0.8884999752044678
ib_origdi_s0,94,in_sample,2.0,top2,2.0,2.749187077553879,1.988155160582066,-0.7610319169718129,0.9682999849319458,0.9223999977111816
ib_origdi_s0,94,in_sample,2.0,top24,24.0,1.686094533727978,1.2980456621725278,-0.3880488715554502,0.9005500078201294,0.8378000259399414
ib_origdi_s0,94,in_sample,2.0,top4,4.0,2.7695880078151114,1.990953878137214,-0.7786341296778974,0.9701499938964844,0.9236999750137328
ib_origdi_s0,94,in_sample,2.0,top8,8.0,2.517817806304419,1.8314878693010217,-0.6863299370033975,0.961549997329712,0.9093499779701232
ib_origdi_s0,94,in_sample,3.0,endpoint,12.0,2.122102997621865,1.5741887293171963,-0.5479142683046692,0.9520999789237976,0.8908500075340271
ib_origdi_s0,94,in_sample,3.0,top1,1.0,2.474052009978738,1.7428963576463834,-0.7311556523323548,0.9556000232696532,0.8974999785423279
ib_origdi_s0,94,in_sample,3.0,top16,16.0,1.893408447049244,1.438241379421089,-0.4551670676281545,0.9290500283241272,0.8762999773025513
ib_origdi_s0,94,in_sample,3.0,top2,2.0,2.771297183807842,1.9558674128782476,-0.8154297709295946,0.9689000248908995,0.918150007724762
ib_origdi_s0,94,in_sample,3.0,top24,24.0,1.575375415330608,1.2432455524892327,-0.3321298628413751,0.8908500075340271,0.8361999988555908
ib_origdi_s0,94,in_sample,3.0,top4,4.0,2.7860637869733007,1.9623895789936008,-0.8236742079796995,0.9718000292778016,0.9204999804496764
ib_origdi_s0,94,in_sample,3.0,top8,8.0,2.5475083094205564,1.816801760152053,-0.7307065492685034,0.9634000062942504,0.9067999720573424
ib_origdi_s0,94,in_sample,4.0,endpoint,12.0,2.1674297179864173,1.6052691729734057,-0.5621605450130116,0.9552500247955322,0.8978000283241272
ib_origdi_s0,94,in_sample,4.0,top1,1.0,2.491207433425253,1.715707556413418,-0.7754998770118353,0.9564499855041504,0.8925999999046326
ib_origdi_s0,94,in_sample,4.0,top16,16.0,1.9087960379870244,1.463538768746088,-0.4452572692409362,0.9316499829292296,0.8780500292778015
ib_origdi_s0,94,in_sample,4.0,top2,2.0,2.7822339852813,1.933966671691215,-0.8482673135900849,0.9692500233650208,0.9154499769210817
ib_origdi_s0,94,in_sample,4.0,top24,24.0,1.6007234755342197,1.2833213033779989,-0.3174021721562206,0.8942499756813049,0.8432499766349792
ib_origdi_s0,94,in_sample,4.0,top4,4.0,2.8094950482673093,1.9488046339528189,-0.8606904143144904,0.9728999733924866,0.9204000234603882
ib_origdi_s0,94,in_sample,4.0,top8,8.0,2.59299382691098,1.8186413450761845,-0.7743524818347955,0.9665499925613404,0.9063500165939332
ib_origdi_s0,337,crossfit,0.5,endpoint,4.0,2.8501298627250087,2.6696573499573986,-0.1804725127676101,0.9745000004768372,0.9679000079631804
ib_origdi_s0,337,crossfit,0.5,top1,1.0,2.6799609093186536,2.5700444818253114,-0.1099164274933421,0.9657500088214874,0.9575999975204468
ib_origdi_s0,337,crossfit,0.5,top16,16.0,1.8811021688197849,1.7064243910559016,-0.1746777777638829,0.9203000068664552,0.903549998998642
ib_origdi_s0,337,crossfit,0.5,top2,2.0,2.954810032658912,2.8139465209218493,-0.1408635117370633,0.9755000174045564,0.9694500267505646
ib_origdi_s0,337,crossfit,0.5,top24,24.0,1.6785962835533728,1.5099434129290386,-0.1686528706243342,0.9004499912261963,0.8763999938964844
ib_origdi_s0,337,crossfit,0.5,top4,4.0,2.8501299006629224,2.66965733452951,-0.1804725661334127,0.9745000004768372,0.9679000079631804
ib_origdi_s0,337,crossfit,0.5,top8,8.0,2.496896043574076,2.333217703181023,-0.163678340393053,0.9598999917507172,0.9513499736785888
ib_origdi_s0,337,crossfit,1.0,endpoint,4.0,2.948505847721165,2.731335026746417,-0.2171708209747482,0.980699986219406,0.9719499945640564
ib_origdi_s0,337,crossfit,1.0,top1,1.0,2.77772937089449,2.6170441641433024,-0.1606852067511879,0.9773499965667723,0.968999981880188
ib_origdi_s0,337,crossfit,1.0,top16,16.0,1.8704878119072088,1.683833072207497,-0.1866547396997117,0.9217499792575836,0.900950014591217
ib_origdi_s0,337,crossfit,1.0,top2,2.0,3.0373604851111957,2.855506718415405,-0.1818537666957904,0.981799989938736,0.975250005722046
ib_origdi_s0,337,crossfit,1.0,top24,24.0,1.628869331578723,1.4510756167054653,-0.1777937148732578,0.891400009393692,0.8659499883651733
ib_origdi_s0,337,crossfit,1.0,top4,4.0,2.94850586236612,2.7313350208978955,-0.2171708414682249,0.980699986219406,0.9719499945640564
ib_origdi_s0,337,crossfit,1.0,top8,8.0,2.546326663860908,2.338999911134437,-0.207326752726471,0.9634499847888948,0.9510000050067902
ib_origdi_s0,337,crossfit,2.0,endpoint,4.0,3.0367334570887827,2.6665101503697173,-0.3702233067190654,0.9813999831676484,0.9681000113487244
ib_origdi_s0,337,crossfit,2.0,top1,1.0,2.959244825155234,2.593589415816956,-0.3656554093382786,0.98089998960495,0.9684500098228456
ib_origdi_s0,337,crossfit,2.0,top16,16.0,1.515311728056374,1.2773538111911176,-0.2379579168652562,0.866100013256073,0.8273999989032745
ib_origdi_s0,337,crossfit,2.0,top2,2.0,3.160883223158871,2.798115139023536,-0.3627680841353347,0.9842999875545502,0.9728499948978424
ib_origdi_s0,337,crossfit,2.0,top24,24.0,1.2457616964256208,1.041491770602296,-0.2042699258233248,0.8204500079154968,0.7838000059127808
ib_origdi_s0,337,crossfit,2.0,top4,4.0,3.0367334353334368,2.6665101298248493,-0.370223305508587,0.9813999831676484,0.9681000113487244
ib_origdi_s0,337,crossfit,2.0,top8,8.0,2.49421571007802,2.1739355952156765,-0.3202801148623432,0.9580000042915344,0.9383499920368196
ib_origdi_s0,337,crossfit,3.0,endpoint,4.0,2.984520648694713,2.597657294239688,-0.3868633544550253,0.9810500144958496,0.966949999332428
ib_origdi_s0,337,crossfit,3.0,top1,1.0,2.9261674600680734,2.551375914297219,-0.3747915457708544,0.9807999730110168,0.9682500064373016
