model_label,unit_id,evaluation,fold,temporal_ms,temporal_samples,spatial_support,n_channels,n_train_hits,n_test_hits,dprime_raw,dprime_deep,ddprime,auc_raw,auc_deep
ib_origdi_s0,2143,in_sample,-1,0.5,15,endpoint,3,100,100,12.641381253801194,13.941604238983102,1.3002229851819074,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top1,1,100,100,10.923085019105216,12.4105347544381,1.4874497353328842,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top2,2,100,100,12.870688580823323,14.208805787506558,1.3381172066832328,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top4,4,100,100,12.289496928744,13.565323440090646,1.2758265113466472,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top8,8,100,100,11.645331729419588,12.499283772678584,0.853952043258996,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top16,16,100,100,10.82023875923332,11.584995997567198,0.7647572383338783,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,0.5,15,top24,24,100,100,9.86638381072791,10.33006072648068,0.4636769157527709,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,endpoint,3,100,100,12.3214372513238,13.516305489188728,1.1948682378649274,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top1,1,100,100,10.867043226959016,12.387763835686972,1.5207206087279577,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top2,2,100,100,12.62108922657712,13.812124278511051,1.191035051933934,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top4,4,100,100,11.999585413904846,13.145089411706698,1.1455039978018515,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top8,8,100,100,11.276100415774978,12.07103264540824,0.7949322296332628,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top16,16,100,100,10.129538792873406,10.688897742788816,0.5593589499154099,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,1.0,30,top24,24,100,100,6.898882859137919,7.016569519355556,0.1176866602176369,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,2.0,60,endpoint,3,100,100,12.495019295920414,13.484996419757817,0.9899771238374022,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,2.0,60,top1,1,100,100,10.916194764646022,12.368877294278368,1.4526825296323462,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,2.0,60,top2,2,100,100,12.775116309249192,13.745646031435324,0.9705297221861304,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,2.0,60,top4,4,100,100,12.146826238636988,13.104351283862885,0.9575250452258944,1.0,1.0
ib_origdi_s0,2143,in_sample,-1,2.0,60,top8,8,100,100,11.368195073930686,12.02471548870052,0.6565204147698349,1.0,1.0
