unit_id,r13_dprime,r5_seed0_dprime,dprime_delta
2143,12.7914758553876,12.692799203625688,0.09867665176191132
94,2.021919781370679,2.0224749116899536,-0.0005551303192747881
337,2.942758571780461,2.951360784926848,-0.008602213146386983
1143,5.103273589608893,5.157507367996482,-0.05423377838758903
720,1.9940247836070728,1.9978300955747472,-0.0038053119676744185
664,0.9472288277300746,0.962009642644617,-0.014780814914542417
1300,3.817460065787725,3.839207531732148,-0.021747465944423006
1122,3.5592420541225245,3.5806380496041554,-0.02139599548163096
793,8.28485431786831,8.49428059016567,-0.20942627229736033
1129,1.8901630189462792,1.877265142202002,0.012897876744277337
