unit_id,raw dprime,base64 R5 om0,sqrt2 om0,depth2 om0,g1.5 om0,cap384 om0,full96 om0,sqrt2 om1,depth2 om1,g1.5 om1,full96 om1
2143,12.53050980636828,0.9894559979438782,0.9881834387779236,0.9894359707832336,0.989288091659546,0.9935031533241272,0.9894182682037354,1.005403995513916,1.0012123584747314,1.0048151016235352,1.006252646446228
793,8.566411202380156,0.9750201106071472,0.9699100255966188,0.9691593050956726,0.9701455235481262,0.9770315289497375,0.9837658405303956,1.0071444511413574,1.0048974752426147,1.0036309957504272,1.0017129182815552
1143,5.323439750626826,0.9668577909469604,0.9606476426124572,0.9642773866653442,0.9593072533607484,0.9631333947181702,0.9598054885864258,0.919098138809204,0.923852264881134,0.9190413355827332,0.9196254014968872
1300,4.074252488212588,0.953080117702484,0.9474923610687256,0.943159818649292,0.9548314809799194,0.9499558210372924,0.9476592540740968,0.8711938858032227,0.8709526658058167,0.8725313544273376,0.8786741495132446
1122,3.796643915047218,0.92964106798172,0.9376993179321288,0.9436331391334534,0.9246733784675598,0.9358969926834106,0.9465360641479492,0.8730114102363586,0.8883209228515625,0.8781483173370361,0.8843175172805786
337,3.1508394835087925,0.956479549407959,0.9611893892288208,0.958650529384613,0.9584746360778807,0.9582512974739076,0.9625060558319092,0.9347788691520692,0.9602960348129272,0.9482570886611938,0.9624103903770448
720,2.1755699332273646,0.8997150659561157,0.901142716407776,0.9017911553382874,0.9011647701263428,0.8994753360748291,0.8952925205230713,0.8162842392921448,0.8059254884719849,0.8090322613716125,0.8290431499481201
94,2.1674297179864177,0.9713959097862244,0.9744625687599182,0.972644031047821,0.9705058932304382,0.975781500339508,0.977774441242218,0.8171346783638,0.8280178904533386,0.8188872337341309,0.8280857801437378
1129,2.144590069262506,0.8388736844062805,0.8341115713119507,0.8386861681938171,0.8408027291297913,0.8401432037353516,0.8363400101661682,0.7261237502098083,0.7249557971954346,0.7327356934547424,0.7985301613807678
664,1.0400025856645227,0.9237419962882996,0.9067695736885072,0.9186791181564332,0.9119433760643004,0.9109766483306884,0.9148696660995485,0.7972295880317688,0.8138810992240906,0.803115963935852,0.8298056721687317
mean,,0.940426129102707,0.9381608605384827,0.9400116622447967,0.9381137132644654,0.9404148876667022,0.9413967609405518,0.876740300655365,0.8822311997413635,0.8790195345878601,0.8938457787036895
