label,config,seed,loss,tier,dprime_deep,dprime_deep_fixed,dprime_raw,snr_deep,amp_ratio,fwhm_ratio,temporal_cos,spatial_cos
ib_base64_s0,base64,0,charbonnier,1,4.398167380820111,4.42792856545826,4.496968895228467,7.6963876485824585,0.8796699821949006,1.0031746031746032,0.9842271327972412,0.9990331828594208
ib_base64_s2,base64,2,charbonnier,1,4.3844150113420435,4.410946463032791,4.496968895228467,7.694731926918029,0.8811061322689057,1.0031746031746032,0.9832443296909332,0.9990454018115997
ib_base64_s1,base64,1,charbonnier,1,4.363991464837914,4.3917956225932135,4.496968895228467,7.708643245697021,0.8799354314804078,1.0198412698412698,0.9850444555282593,0.9988906919956207
ib_om0_scale,support_all_l2_om0,0,l2,scale,4.362950698333062,4.400329859726126,4.496968895228467,6.899914789199829,0.938940680027008,0.976388888888889,0.9962679743766785,0.9997406661510467
ib_champ_l2_s1,champ_l2,1,l2,1,4.320470235228248,4.3448889363997765,4.496968895228467,7.588179993629455,0.8607123494148254,1.0031746031746032,0.9803937494754791,0.9986122071743011
ib_omission0_s3,omission0,3,charbonnier,1,4.319335737027151,4.360717142179359,4.496968895228467,6.898277544975281,0.9341905772686004,0.976388888888889,0.9961227357387543,0.999759167432785
ib_omission0_s1,omission0,1,charbonnier,1,4.314730168038594,4.3585519874385,4.496968895228467,6.889988994598388,0.9339436769485474,0.976388888888889,0.9961915910243988,0.999767518043518
ib_omission0_s0,omission0,0,charbonnier,1,4.312011079753907,4.356832964980026,4.496968895228467,6.876547765731812,0.9268179357051849,0.976388888888889,0.9961271047592163,0.999767541885376
ib_omission0_s4,omission0,4,charbonnier,1,4.31083536676189,4.351308143369186,4.496968895228467,6.891889953613282,0.9331242322921753,0.976388888888889,0.9962275505065918,0.999751991033554
ib_omission0_l2_s2,omission0_l2,2,l2,1,4.30885135014431,4.349219311344376,4.496968895228467,6.8854070663452145,0.9315085172653198,0.976388888888889,0.9961741805076599,0.9997580409049988
ib_champ_l2_s2,champ_l2,2,l2,1,4.303589490762752,4.327133834968936,4.496968895228467,7.640691208839416,0.8628443717956543,1.0031746031746032,0.9802331864833832,0.9986656010150909
ib_omission0_l2_s0,omission0_l2,0,l2,1,4.303472213038958,4.344046079516908,4.496968895228467,6.889920353889465,0.9279882371425628,0.976388888888889,0.9963253557682037,0.9997543096542358
ib_omission0_l2_s1,omission0_l2,1,l2,1,4.301901840626718,4.343265866482629,4.496968895228467,6.902748918533325,0.9343643426895142,0.976388888888889,0.9959594309329987,0.9997521340847015
ib_omission0_s2,omission0,2,charbonnier,1,4.300591884883093,4.340952081336729,4.496968895228467,6.897181177139283,0.9299456179141998,0.976388888888889,0.9961277902126312,0.9997399985790253
ib_champion_s0,champion,0,charbonnier,1,4.2928435558043905,4.3166293011396695,4.496968895228467,7.634736514091491,0.8617916345596314,1.0031746031746032,0.979680734872818,0.9987751007080078
ib_champion_s4,champion,4,charbonnier,1,4.289425066266551,4.313107832742018,4.496968895228467,7.542143559455871,0.8559053122997284,1.0231746031746032,0.9794516384601593,0.9986726462841033
ib_champion_s1,champion,1,charbonnier,1,4.278845106484502,4.294562397735943,4.496968895228467,7.584046268463135,0.8540078163146972,1.0031746031746032,0.9800470769405365,0.9986031830310822
ib_om1_scale,support_all_l2_om1,0,l2,scale,4.274495227736301,4.295935974155866,4.496968895228467,7.677631497383118,0.8689635992050171,1.0410714285714284,0.9814238846302032,0.9985241234302521
ib_champion_s2,champion,2,charbonnier,1,4.267589450773487,4.2930847501369565,4.496968895228467,7.620472884178161,0.8581028997898101,1.0031746031746032,0.9804016768932342,0.9986145555973053
ib_champion_s3,champion,3,charbonnier,1,4.255669357875808,4.2820055230119936,4.496968895228467,7.606592106819153,0.8650268673896789,1.0031746031746032,0.9797268569469452,0.9987332940101623
ib_champ_l2_s0,champ_l2,0,l2,1,4.242971413017154,4.267665075610275,4.496968895228467,7.567955136299133,0.8585040926933288,1.0142857142857142,0.9798831284046173,0.998742300271988
