comparison,dprime_deep_delta,dprime_deep_fixed_delta,snr_deep_delta,amp_ratio_delta,fwhm_ratio_delta,temporal_cos_delta,spatial_cos_delta
R9-R1,0.000484700361755408,0.0016251402812477167,-0.017146253585814897,-0.0005085110664367898,0.0,4.264712333679199e-05,1.5896558761663293e-05
R10-R1,-3.333980372488554e-05,0.0006984268533702931,-0.01560745239257777,0.003216618299484164,0.0,-8.506774902350411e-05,5.018711090154504e-06
R11-R1,-0.020481835634466705,-0.017482420836898882,-0.009109044075011674,0.00130606889724727,0.0,-8.950233459470436e-05,1.7547607421897204e-05
R12-R1,-0.017929329861516408,-0.014275556075813434,-0.0290025711059565,-0.0008029341697692871,0.0,-0.00014464259147650704,1.9782781600974353e-05
