unit_id,raw dprime,base64 R5 om0,sqrt2 om0,depth2 om0,g1.5 om0,cap384 om0,full96 om0,sqrt2 om1,depth2 om1,g1.5 om1,full96 om1
2143,12.53050980636828,0.16228939725740865,0.10211214752994913,0.17780020318064516,0.26727198573207644,0.3472530263140321,0.39230026051454914,0.9018447348319771,0.9210268988189565,0.7860350991688989,1.0054253071732813
793,8.566411202380156,-0.07213061221448491,-0.16542051045661488,-0.138306101700719,-0.12868361306227527,-0.09380125630262803,0.013856895232082778,0.32748125936401884,0.26976974924100716,0.5693746761599563,0.40024398294418617
1143,5.323439750626826,-0.16593238263034404,-0.20535045444337552,-0.1860752477585388,-0.18658749530545737,-0.16939584888279136,-0.1790759118451195,-0.34612452487715206,-0.3446153111515633,-0.2689782425981351,-0.26897646816412113
1300,4.074252488212588,-0.23504495648044,-0.23550839399913137,-0.24889163534778724,-0.23227235935726975,-0.23869274826557918,-0.22832734659774312,-0.4298949096573641,-0.42103148037222793,-0.4005469064725773,-0.4069630302723888
1122,3.796643915047218,-0.21600586544306255,-0.19818331691459345,-0.1880368478707739,-0.223957062747965,-0.19652141084770092,-0.1938931518932958,-0.402597263307801,-0.3584629335661136,-0.37632260006063145,-0.3317599650199776
337,3.1508394835087925,-0.19947869858194434,-0.1939694070355853,-0.17907737672603163,-0.18738425264356673,-0.17829643336758716,-0.1742197909097376,-0.31169644424701026,-0.27759710321424436,-0.2783961788542171,-0.24920163476366053
720,2.1755699332273646,-0.17773983765261736,-0.16920188192996433,-0.17283403750532367,-0.1741189544449715,-0.1755440549388365,-0.1754805134731625,-0.3543621370215251,-0.35324327113627496,-0.3564473862353297,-0.31305430138876855
94,2.1674297179864177,-0.14495480629646407,-0.13964728483615074,-0.15050426457866806,-0.14687669575245943,-0.14630877116198882,-0.1442637733952976,-0.21390232871228854,-0.22182024402962042,-0.2200008269616025,-0.22256352580975403
1129,2.144590069262506,-0.26732492706050404,-0.2788697241807403,-0.26290470123249965,-0.26842193711210505,-0.2565247452791808,-0.25603092808504835,-0.39416566904369765,-0.38474320310649857,-0.38085401583504774,-0.2971931580578331
664,1.0400025856645227,-0.07799294301990578,-0.09045854066699432,-0.08244651122526636,-0.08928542398030492,-0.08836624905956159,-0.08570491574307915,-0.15819896178571324,-0.1481610390402892,-0.1573234643320679,-0.14458041560133006
mean,,-0.13943156321223585,-0.15744973669332013,-0.1431276520764963,-0.13703158086742986,-0.11961984917918222,-0.10308391761958517,-0.1381616244456556,-0.13188779375568688,-0.10834598460207534,-0.08286232089603664
