comparison,seed,candidate_label,baseline_label,endpoint_dprime_delta,endpoint_dprime_fixed_delta,endpoint_amp_ratio_delta,endpoint_temporal_cos_delta,endpoint_spatial_cos_delta,endpoint_fwhm_abs_error_delta,samples_to_dprime_4_20_delta,samples_to_dprime_4_30_delta,samples_to_dprime_4_35_delta
R1-R0,0,ib_r1_warmup,ib_r0_base,0.01507811076183696,0.013538351460224085,0.0017636358737945779,9.055137634284005e-05,-2.672672271730736e-05,0.0,-726174.5262649902,-5290694.368378337,-3706931.300835926
R1-R0,1,ib_r1_s1,ib_r0_s1,-0.019499471364577303,-0.019967923241304142,-0.0005250871181488037,-3.0046701431363232e-05,-1.2993812560369022e-06,0.019999999999999907,593279.3455922683,3020434.588933536,
R1-R0,2,ib_r1_s2,ib_r0_s2,-0.004804734976657343,-0.00610869933438174,0.0027233719825745517,-3.412961959836647e-05,5.835294723421924e-06,0.019999999999999907,30091.03575811576,-242033.05292512942,-721953.942757925
R5-R0,0,ib_r5_bs256,ib_r0_base,0.007485347744875526,0.00723855983652566,0.006427609920501731,5.429983139038086e-05,4.708766937255859e-06,0.0,-601929.4037422169,-7247199.678773472,-1584775.3764914032
R5-R0,1,ib_r5_s1,ib_r0_s1,0.003380691128234581,0.0037970760299002038,0.0017925679683685747,-0.00010019540786743164,1.4925003051780017e-05,0.019999999999999907,119328.17294394987,2575476.918412554,904600.2781606149
R5-R0,2,ib_r5_s2,ib_r0_s2,0.0019735475945550363,0.0015274782324432579,0.00021629929542543724,-8.524656295771926e-05,-1.172423362738595e-05,0.019999999999999907,828614.5279738659,-3207515.845655547,-5106002.34973887
