model_label,domain,channels,median_std_uV,median_abs_skewness,median_excess_kurtosis,median_normal_quantile_rmse,median_fraction_abs_gt_3,median_fraction_abs_gt_5,jarque_bera_fdr_reject_fraction,median_mean_abs_autocorrelation,median_max_abs_autocorrelation,ljung_box_fdr_reject_fraction,median_spectral_flatness,median_variance_ratio_to_raw,median_abs_spatial_correlation,median_abs_near_correlation,median_abs_far_correlation,median_abs_prediction_residual_correlation
shared_raw,raw,384,13.132167183639964,0.1353879313979367,0.5882059444612788,0.0854869634972511,0.0054768880208333,0.000146484375,0.9765625,0.1100547467061131,0.6073671313236858,1.0,0.7248536228534828,1.0,0.0339178327422551,0.3742678070673354,0.0313494743698025,0.0068871010745358
ib_w96_om0_scale,prediction,384,10.420626566235658,0.2209201038600801,1.2369489402892433,0.1055843027440273,0.0072428385416666,0.0003580729166666,0.9947916666666666,0.1726065595579918,0.74854431304972,1.0,0.4173503716949445,0.6358420848846436,0.049293669255118,0.5455226267622898,0.0453145309398543,0.0068871010745358
ib_w96_om0_scale,residual,384,7.569138079648873,0.0214644288141797,0.0681898707115822,0.0106975729687981,0.003125,0.0,0.8151041666666666,0.0238881910390432,0.3780957654587011,1.0,0.7719030322160241,0.3600944280624389,0.0060280081898905,0.0581815714064853,0.0057746175879034,0.0068871010745358
ib_w96_om1_scale,prediction,384,9.141584887325516,0.2833089078511201,1.7221910763359451,0.1302834870446423,0.0083658854166666,0.0005940755208333,0.9973958333333334,0.2336838946705945,0.8489719455585206,1.0,0.3236739225389686,0.4942300915718078,0.0604806666436533,0.6299131652978621,0.0554306160127089,0.0087362707101025
ib_w96_om1_scale,residual,384,9.124097755395184,0.0306698189020039,0.0944878840204586,0.0144810408436118,0.0032796223958333,0.0,0.8697916666666666,0.044958135316318,0.3143087151120036,1.0,0.7815775790977761,0.499470591545105,0.0052784424484382,0.0811145459034503,0.0049998415936997,0.0087362707101025
