unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9971745610237122,0.9999718070030212,0.9959012959009402,0.9999964854775865,0.9439818263053894,1.2,0,0.9998265237359076,0.9848729372024536,0.9852955341339111
94,200,29,9,23.959999084472656,0.998579740524292,0.9996587634086609,0.9952079821068809,0.99321730852104,0.9693543910980225,1.0,0,1.0063387140812865,0.9619246125221252,0.9687095880508423
337,200,274,4,34.19499969482422,0.9967096447944641,0.9992867708206177,0.9932412268089648,0.9966459588270283,0.9500732421875,0.8888888888888888,0,1.0082284339567502,0.9158539175987244,0.9358052015304565
1143,200,134,7,35.27000045776367,0.9974364638328552,0.9997653961181641,0.9966519500662636,0.9980841701877222,0.964362382888794,1.0,0,0.9976398331866715,0.9471122026443481,0.9539198279380798
720,200,172,6,25.85999870300293,0.9974784255027771,0.9993684887886047,0.9950861935008909,0.9937597546249509,0.8750113248825073,1.0,0,1.0123161239682283,0.9538417458534241,0.9681801199913025
664,200,221,1,19.31999969482422,0.9807518124580383,1.0,0.9827533286638466,,0.8938440084457397,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9973514080047607,0.9998862147331238,0.9958220109899326,0.9996218595032849,0.9548931121826172,1.0,0,0.9941293130187842,0.9359017610549927,0.9476690292358398
1122,200,158,2,31.939998626708984,0.9953050017356873,0.9999731183052063,0.9929739142613881,1.0,0.9369614720344543,1.0,0,1.0018102652184513,0.9716477394104004,0.9826115369796753
793,200,102,5,31.90999984741211,0.9975051283836365,0.9998049736022949,0.994704268071503,0.9957629345671859,0.9442369341850281,1.0,0,1.0034006428476467,0.9551831483840942,0.9644309282302856
1129,200,122,6,22.7450008392334,0.9960303902626038,0.9987796545028687,0.9876163210770613,0.940565428253245,0.8291559219360352,1.0,0,0.9833650072190478,0.9091116786003113,0.9290079474449158
