unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9995959997177124,0.9999903440475464,0.9993381126313047,0.9996664302155699,0.9874052405357361,1.0,0,0.9998624611282002,0.9848729372024536,0.9849201440811157
94,200,29,9,23.959999084472656,0.9987343549728394,0.9999240040779114,0.9956551220105417,0.996342453675926,0.9679460525512695,1.0,0,1.0034394426073272,0.9619246125221252,0.9691101908683777
337,200,274,4,34.19499969482422,0.9981817603111267,0.9994187951087952,0.9965007522372454,0.998946831720225,0.951656699180603,0.8888888888888888,0,1.006895550001422,0.9158539175987244,0.9360470771789551
1143,200,134,7,35.27000045776367,0.9986826777458191,0.9999537467956543,0.9983146001938251,0.998003274633831,0.9577131867408752,1.0,0,1.0003536602586725,0.9471122026443481,0.9549907445907593
720,200,172,6,25.85999870300293,0.9976425170898438,0.9998173713684082,0.995572662294347,0.9901895630005629,0.9020238518714905,1.0,0,1.0040910197021282,0.9538417458534241,0.9640734195709229
664,200,221,1,19.31999969482422,0.9840510487556458,1.0,0.9858523466863168,,0.904712438583374,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.998104989528656,0.9998569488525391,0.9973905523337675,0.9992923186930823,0.9456637501716614,1.0,0,0.9956559358345701,0.9359017610549927,0.9443155527114868
1122,200,158,2,31.939998626708984,0.9962760210037231,0.9999946355819702,0.9951983689847816,1.0,0.9248918890953064,1.0,0,1.000512230225353,0.9716477394104004,0.9836351871490479
793,200,102,5,31.90999984741211,0.9989420771598816,0.9998032450675964,0.9977446978244663,0.9989843899583436,0.9755219221115112,1.0,0,0.99761328316796,0.9551831483840942,0.9618391394615173
1129,200,122,6,22.7450008392334,0.9959444403648376,0.9990986585617065,0.987628099179221,0.95490142418958,0.8376166820526123,1.0,0,0.9898686077257418,0.9091116786003113,0.9303416609764099
