unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,21.473987579345703,5.04002571105957,12.53050980636828,12.944297492378551,12.971369510005268,1.0,1.0,1.0,0.4137876860102718,0.44085970363698834,0.0
94,100,29,12,3.4893321990966797,3.728769302368164,0.23943710327148438,2.1674297179864177,2.016850848300782,2.0553246833203453,0.9552500247955322,0.9439499974250793,0.947350025177002,-0.15057886968563583,-0.11210503466607236,-0.01130002737045288
337,100,274,4,4.1204514503479,4.264312744140625,0.1438612937927246,3.1508394835087925,2.9507156986621066,2.9824340276510015,0.986299991607666,0.9825000166893005,0.9832500219345093,-0.20012378484668591,-0.168405455857791,-0.0037999749183654785
1143,100,134,7,6.047300815582275,6.781651973724365,0.7343511581420898,5.323439750626826,5.150666868883504,5.162578230893279,0.9993500113487244,0.9980000257492065,0.9983000159263611,-0.17277288174332206,-0.16086151973354745,-0.0013499855995178223
720,100,172,6,3.3256125450134277,3.3135809898376465,-0.01203155517578125,2.1755699332273646,2.000736646845956,2.05030569557391,0.9448500275611877,0.9298499822616577,0.933650016784668,-0.17483328638140838,-0.12526423765345474,-0.01500004529953003
664,100,221,3,3.72355318069458,4.354637622833252,0.6310844421386719,1.0400025856645227,0.9477395407587502,0.9787519762525646,0.7771499752998352,0.7559999823570251,0.7633000016212463,-0.09226304490577253,-0.061250609411958146,-0.02114999294281006
1300,100,134,5,4.578506946563721,5.163948059082031,0.5854411125183105,4.074252488212588,3.8443032647263857,3.8616412002211256,0.9939500093460083,0.9919000267982483,0.9926999807357788,-0.2299492234862024,-0.21261128799146256,-0.0020499825477600098
1122,100,158,2,5.306804656982422,6.0433244705200195,0.7365198135375977,3.796643915047218,3.5851021077816587,3.590179419782374,0.9973499774932861,0.9960500001907349,0.9963499903678894,-0.21154180726555927,-0.20646449526484378,-0.0012999773025512695
793,100,102,5,7.0905632972717285,9.921793937683105,2.831230640411377,8.566411202380156,8.514777400307,8.581056663112044,1.0,1.0,1.0,-0.051633802073155266,0.014645460731887994,0.0
1129,100,122,7,3.9321558475494385,4.171712875366211,0.23955702781677246,2.144590069262506,1.873985528562512,1.9659771008083833,0.9578499794006348,0.9346500039100647,0.9440500140190125,-0.27060454069999396,-0.17861296845412267,-0.02319997549057007
