unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9988458156585693,0.9999686479568481,0.9982542732578202,0.9999999608023552,0.9747766852378845,1.0,0,1.0049795342939276,0.9848729372024536,0.9867001175880432
94,200,29,9,23.959999084472656,0.9984479546546936,0.9998517036437988,0.9949596740137453,0.9951487504826888,0.9702163338661194,1.0,0,1.0041036037103663,0.9619246125221252,0.9703603386878967
337,200,274,4,34.19499969482422,0.997744619846344,0.9993154406547546,0.9960362775065297,0.9977602131659465,0.9406648874282837,0.8888888888888888,0,1.0045185580743377,0.9158539175987244,0.9392547607421875
1143,200,134,7,35.27000045776367,0.9984111785888672,0.9998589158058167,0.9982122905462847,0.9969142014586859,0.9396098852157593,1.0,0,1.000053190120785,0.9471122026443481,0.9538977146148682
720,200,172,6,25.85999870300293,0.9967309832572937,0.9995271563529968,0.9939161803198112,0.9935768104579601,0.8784932494163513,1.0,0,1.009659500279976,0.9538417458534241,0.9647523164749146
664,200,221,1,19.31999969482422,0.984129011631012,1.0,0.985014518622681,,0.9124447107315063,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9983323812484741,0.9998589754104614,0.997157925900532,0.9988987455888736,0.9320945739746094,1.0,0,0.9954496825246919,0.9359017610549927,0.9485555291175842
1122,200,158,2,31.939998626708984,0.9954800605773926,0.9998781681060791,0.9939580151505515,1.0,0.9163329005241394,1.0,0,1.003809608225357,0.9716477394104004,0.9831317067146301
793,200,102,5,31.90999984741211,0.9979639053344727,0.9996904730796814,0.9960329972038111,0.9969255107194552,0.9332048892974854,1.0,0,1.0006210297965166,0.9551831483840942,0.9671154022216797
1129,200,122,6,22.7450008392334,0.9957326650619507,0.9992002248764038,0.9873246057056254,0.9686175648177877,0.8224751949310303,1.0,0,0.9941670922044111,0.9091116786003113,0.9309934377670288
