unit_id,acc_8,acc_10,delta_acc,precision_8,precision_10,recall_8,recall_10,fp_8,fp_10,tp_8,tp_10
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
337,0.244555002763958,0.7399337632909186,0.4953787605269606,0.2467373117679866,0.7864023712486106,0.9650959860383944,0.9260471204188482,13506,1153,4424,4245
664,0.4988745409311693,0.6619192946761614,0.1630447537449921,0.5134739665894403,0.729583255466268,0.9460795326892834,0.8771062682543249,3990,1447,4211,3904
720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
793,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,4530,4530
1122,0.4919412182981749,0.6203094433576383,0.12836822505946338,0.5127856701667696,0.7554689192116093,0.9236760124610592,0.7761459724076547,3944,1129,4151,3488
1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1143,0.5283805320583548,0.7058231246853499,0.17744259262699513,0.5407100740183164,0.741929793614394,0.9586298932384342,0.9354982206405694,3661,1463,4310,4206
1300,0.2801948884520044,0.2743068864188067,-0.005888002033197726,0.3116858419701436,0.3893725063474791,0.7349775784753363,0.481390134529148,7239,3367,3278,2147
2143,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,4460,4460
