gt_unit_id,Th_learned,accuracy,precision,recall,tp,fn,fp,num_gt
2143,8.0,1.0,1.0,1.0,4460.0,0.0,0.0,4460
94,8.0,0,0,0,0,4444,0,4444
337,8.0,0.244555002763958,0.2467373117679866,0.9650959860383944,4424.0,160.0,13506.0,4584
1143,8.0,0.5283805320583548,0.5407100740183164,0.9586298932384342,4310.0,186.0,3661.0,4496
720,8.0,0,0,0,0,4443,0,4443
664,8.0,0.4988745409311693,0.5134739665894403,0.9460795326892834,4211.0,240.0,3990.0,4451
1300,8.0,0.28019488845200446,0.3116858419701436,0.7349775784753363,3278.0,1182.0,7239.0,4460
1122,8.0,0.49194121829817494,0.5127856701667696,0.9236760124610592,4151.0,343.0,3944.0,4494
793,8.0,1.0,1.0,1.0,4530.0,0.0,0.0,4530
1129,8.0,0,0,0,0,4534,0,4534
2143,9.0,1.0,1.0,1.0,4460.0,0.0,0.0,4460
94,9.0,0,0,0,0,4444,0,4444
337,9.0,0.29745768426731406,0.3009688864628821,0.962260034904014,4411.0,173.0,10245.0,4584
1143,9.0,0.6642689601250977,0.6910688140556369,0.9448398576512456,4248.0,248.0,1899.0,4496
720,9.0,0,0,0,0,4443,0,4443
664,9.0,0.7854545454545454,0.9425051334702259,0.8249831498539654,3672.0,779.0,224.0,4451
1300,9.0,0.3020381613183001,0.3690066225165563,0.6246636771300449,2786.0,1674.0,4764.0,4460
1122,9.0,0.5654115195713648,0.6306440903054449,0.845349354695149,3799.0,695.0,2225.0,4494
793,9.0,1.0,1.0,1.0,4530.0,0.0,0.0,4530
1129,9.0,0,0,0,0,4534,0,4534
2143,10.0,1.0,1.0,1.0,4460.0,0.0,0.0,4460
94,10.0,0,0,0,0,4444,0,4444
337,10.0,0.7399337632909186,0.7864023712486106,0.9260471204188482,4245.0,339.0,1153.0,4584
1143,10.0,0.7058231246853499,0.741929793614394,0.9354982206405694,4206.0,290.0,1463.0,4496
720,10.0,0,0,0,0,4443,0,4443
664,10.0,0.6619192946761614,0.729583255466268,0.8771062682543249,3904.0,547.0,1447.0,4451
1300,10.0,0.2743068864188067,0.38937250634747916,0.481390134529148,2147.0,2313.0,3367.0,4460
1122,10.0,0.6203094433576383,0.7554689192116093,0.7761459724076547,3488.0,1006.0,1129.0,4494
793,10.0,1.0,1.0,1.0,4530.0,0.0,0.0,4530
1129,10.0,0,0,0,0,4534,0,4534
