Th_learned,mean_accuracy,mean_precision,mean_recall,gt_units_detected,gt_units_above_0_8_accuracy,sorter_units,sorted_spike_events,true_positive_injected_spikes,false_positive_spikes_in_gt_matched_clusters,sorter_run_time_s,sorted_spike_events_per_s
8.0,0.462801093282037,0.5003509982610526,0.7106463101733218,8,2,620,10044862,127540,116908,2963.6317121379834,8370.718333333334
9.0,0.5187406988832027,0.5574185188765677,0.682987469372036,8,2,624,7017694,122612,63732,2465.987201101001,5848.078333333333
10.0,0.5203720392815179,0.5546548595040054,0.632948853339182,7,3,600,5228933,113719,38307,2332.267691932997,4357.444166666667
