domain,Th_learned,peel,accepted_events
raw_native,10.0,7,190661
raw_native,10.0,8,174232
raw_native,10.0,9,156518
raw_native,10.0,10,137667
raw_native,10.0,11,118671
raw_native,10.0,12,100276
raw_native,10.0,13,82882
raw_native,10.0,14,67320
raw_native,10.0,15,53281
raw_native,10.0,16,41497
raw_native,10.0,17,31831
raw_native,10.0,18,24127
raw_native,10.0,19,18141
raw_native,10.0,20,13476
raw_native,10.0,21,9841
raw_native,10.0,22,7286
raw_native,10.0,23,5433
raw_native,10.0,24,4068
raw_native,10.0,25,3064
raw_native,10.0,26,2297
raw_native,10.0,27,1767
raw_native,10.0,28,1352
raw_native,10.0,29,1025
raw_native,10.0,30,813
raw_native,10.0,31,682
raw_native,10.0,32,564
raw_native,10.0,33,465
raw_native,10.0,34,401
raw_native,10.0,35,323
raw_native,10.0,36,279
raw_native,10.0,37,243
raw_native,10.0,38,207
raw_native,10.0,39,174
raw_native,10.0,40,163
raw_native,10.0,41,140
raw_native,10.0,42,131
raw_native,10.0,43,107
raw_native,10.0,44,92
raw_native,10.0,45,89
raw_native,10.0,46,90
raw_native,10.0,47,77
raw_native,10.0,48,74
raw_native,10.0,49,67
raw_native,10.0,50,63
raw_native,10.0,51,53
raw_native,10.0,52,49
raw_native,10.0,53,43
raw_native,10.0,54,40
raw_native,10.0,55,35
raw_native,10.0,56,36
raw_native,10.0,57,35
raw_native,10.0,58,29
raw_native,10.0,59,26
raw_native,10.0,60,25
raw_native,10.0,61,25
raw_native,10.0,62,24
raw_native,10.0,63,23
raw_native,10.0,64,21
raw_native,10.0,65,22
raw_native,10.0,66,22
raw_native,10.0,67,20
raw_native,10.0,68,18
raw_native,10.0,69,16
raw_native,10.0,70,15
raw_native,10.0,71,15
raw_native,10.0,72,16
raw_native,10.0,73,17
raw_native,10.0,74,14
raw_native,10.0,75,16
raw_native,10.0,76,15
raw_native,10.0,77,13
raw_native,10.0,78,14
raw_native,10.0,79,14
raw_native,10.0,80,15
raw_native,10.0,81,13
raw_native,10.0,82,13
raw_native,10.0,83,14
raw_native,10.0,84,15
raw_native,10.0,85,16
raw_native,10.0,86,13
raw_native,10.0,87,16
raw_native,10.0,88,14
raw_native,10.0,89,14
raw_native,10.0,90,13
raw_native,10.0,91,13
raw_native,10.0,92,13
raw_native,10.0,93,14
raw_native,10.0,94,13
raw_native,10.0,95,11
raw_native,10.0,96,11
raw_native,10.0,97,11
raw_native,10.0,98,12
raw_native,10.0,99,13
raw_native,10.75,0,283404
raw_native,10.75,1,261224
raw_native,10.75,2,247532
raw_native,10.75,3,235532
raw_native,10.75,4,223276
raw_native,10.75,5,208602
raw_native,10.75,6,191949
raw_native,10.75,7,173429
raw_native,10.75,8,153254
raw_native,10.75,9,132916
raw_native,10.75,10,112175
raw_native,10.75,11,92210
raw_native,10.75,12,74170
raw_native,10.75,13,58447
raw_native,10.75,14,44832
raw_native,10.75,15,33577
raw_native,10.75,16,24724
raw_native,10.75,17,18145
raw_native,10.75,18,13189
raw_native,10.75,19,9503
raw_native,10.75,20,6821
raw_native,10.75,21,4823
raw_native,10.75,22,3503
raw_native,10.75,23,2596
raw_native,10.75,24,1926
raw_native,10.75,25,1400
raw_native,10.75,26,1028
raw_native,10.75,27,800
raw_native,10.75,28,617
raw_native,10.75,29,506
raw_native,10.75,30,396
raw_native,10.75,31,310
raw_native,10.75,32,270
raw_native,10.75,33,236
raw_native,10.75,34,196
raw_native,10.75,35,169
raw_native,10.75,36,151
raw_native,10.75,37,133
raw_native,10.75,38,114
raw_native,10.75,39,98
raw_native,10.75,40,90
raw_native,10.75,41,81
raw_native,10.75,42,76
raw_native,10.75,43,66
raw_native,10.75,44,57
raw_native,10.75,45,58
raw_native,10.75,46,53
raw_native,10.75,47,44
raw_native,10.75,48,43
