domain,status,events,peel0_events,peel0_fraction,mean_peel,median_peel,q90_peel,weighted_mean_score,weighted_mean_score_margin
raw_native,tp,97677,5758,0.05894939443267094,8.187004105367691,7,17,14.888834282493608,6.888834282493608
raw_native,fp_matched_cluster,31012,43,0.0013865600412743455,13.61044111956662,13,22,10.199717262891221,2.1997172628912214
raw_native,unmatched_cluster,4144853,277561,0.06696522168578717,9.626552256497396,8,20,15.009534399551363,7.009534399551363
denoised,tp,125183,11230,0.0897086665122261,9.229831526644992,7,21,20.31251782632688,12.312517826326879
denoised,fp_matched_cluster,80624,47,0.0005829529668585037,26.506114804524707,25,46,10.847638029963706,2.847638029963706
denoised,unmatched_cluster,9978405,272595,0.027318494288415835,23.16824161777358,22,44,13.416550675431948,5.416550675431948
