domain,score_bin_left,score_bin_right,local_max_count
raw_native,0.0,0.1,0
raw_native,0.1,0.2,0
raw_native,0.2,0.30000000000000004,0
raw_native,0.30000000000000004,0.4,0
raw_native,0.4,0.5,0
raw_native,0.5,0.6000000000000001,0
raw_native,0.6000000000000001,0.7000000000000001,0
raw_native,0.7000000000000001,0.8,0
raw_native,0.8,0.9,0
raw_native,0.9,1.0,0
raw_native,1.0,1.1,0
raw_native,1.1,1.2000000000000002,0
raw_native,1.2000000000000002,1.3,0
raw_native,1.3,1.4000000000000001,0
raw_native,1.4000000000000001,1.5,0
raw_native,1.5,1.6,0
raw_native,1.6,1.7000000000000002,0
raw_native,1.7000000000000002,1.8,0
raw_native,1.8,1.9000000000000001,0
raw_native,1.9000000000000001,2.0,0
raw_native,2.0,2.1,0
raw_native,2.1,2.2,0
raw_native,2.2,2.3000000000000003,0
raw_native,2.3000000000000003,2.4000000000000004,0
raw_native,2.4000000000000004,2.5,0
raw_native,2.5,2.6,0
raw_native,2.6,2.7,0
raw_native,2.7,2.8000000000000003,0
raw_native,2.8000000000000003,2.9000000000000004,0
raw_native,2.9000000000000004,3.0,0
raw_native,3.0,3.1,0
raw_native,3.1,3.2,0
raw_native,3.2,3.3000000000000003,0
raw_native,3.3000000000000003,3.4000000000000004,0
raw_native,3.4000000000000004,3.5,0
raw_native,3.5,3.6,0
raw_native,3.6,3.7,0
raw_native,3.7,3.8000000000000003,0
raw_native,3.8000000000000003,3.9000000000000004,0
raw_native,3.9000000000000004,4.0,0
raw_native,4.0,4.1000000000000005,0
raw_native,4.1000000000000005,4.2,0
raw_native,4.2,4.3,0
raw_native,4.3,4.4,0
raw_native,4.4,4.5,0
raw_native,4.5,4.6000000000000005,0
raw_native,4.6000000000000005,4.7,0
raw_native,4.7,4.800000000000001,0
raw_native,4.800000000000001,4.9,0
raw_native,4.9,5.0,0
raw_native,5.0,5.1000000000000005,0
raw_native,5.1000000000000005,5.2,0
raw_native,5.2,5.300000000000001,0
raw_native,5.300000000000001,5.4,0
raw_native,5.4,5.5,0
raw_native,5.5,5.6000000000000005,0
raw_native,5.6000000000000005,5.7,0
raw_native,5.7,5.800000000000001,0
raw_native,5.800000000000001,5.9,0
raw_native,5.9,6.0,0
raw_native,6.0,6.1000000000000005,0
raw_native,6.1000000000000005,6.2,0
raw_native,6.2,6.300000000000001,0
raw_native,6.300000000000001,6.4,0
raw_native,6.4,6.5,0
raw_native,6.5,6.6000000000000005,0
raw_native,6.6000000000000005,6.7,0
raw_native,6.7,6.800000000000001,0
raw_native,6.800000000000001,6.9,0
raw_native,6.9,7.0,0
raw_native,7.0,7.1000000000000005,0
raw_native,7.1000000000000005,7.2,1
raw_native,7.2,7.300000000000001,2
raw_native,7.300000000000001,7.4,0
raw_native,7.4,7.5,0
raw_native,7.5,7.6000000000000005,0
raw_native,7.6000000000000005,7.7,3
raw_native,7.7,7.800000000000001,3
raw_native,7.800000000000001,7.9,0
raw_native,7.9,8.0,1
raw_native,8.0,8.1,3
raw_native,8.1,8.200000000000001,0
raw_native,8.200000000000001,8.3,1
raw_native,8.3,8.4,4
raw_native,8.4,8.5,1
raw_native,8.5,8.6,1
raw_native,8.6,8.700000000000001,3
raw_native,8.700000000000001,8.8,1
raw_native,8.8,8.9,6
raw_native,8.9,9.0,4
raw_native,9.0,9.1,7
raw_native,9.1,9.200000000000001,8
raw_native,9.200000000000001,9.3,6
raw_native,9.3,9.4,7
raw_native,9.4,9.5,8
raw_native,9.5,9.600000000000001,9
raw_native,9.600000000000001,9.700000000000001,13
raw_native,9.700000000000001,9.8,11
raw_native,9.8,9.9,15
raw_native,9.9,10.0,15
raw_native,10.0,10.100000000000001,12
raw_native,10.100000000000001,10.200000000000001,18
raw_native,10.200000000000001,10.3,19
raw_native,10.3,10.4,22
raw_native,10.4,10.5,22
raw_native,10.5,10.600000000000001,20
raw_native,10.600000000000001,10.700000000000001,27
raw_native,10.700000000000001,10.8,29
raw_native,10.8,10.9,29
raw_native,10.9,11.0,31
raw_native,11.0,11.100000000000001,40
raw_native,11.100000000000001,11.200000000000001,32
raw_native,11.200000000000001,11.3,33
raw_native,11.3,11.4,46
raw_native,11.4,11.5,40
raw_native,11.5,11.600000000000001,50
raw_native,11.600000000000001,11.700000000000001,44
raw_native,11.700000000000001,11.8,56
raw_native,11.8,11.9,48
raw_native,11.9,12.0,56
raw_native,12.0,12.100000000000001,42
raw_native,12.100000000000001,12.200000000000001,56
raw_native,12.200000000000001,12.3,56
raw_native,12.3,12.4,78
raw_native,12.4,12.5,72
raw_native,12.5,12.600000000000001,69
raw_native,12.600000000000001,12.700000000000001,63
raw_native,12.700000000000001,12.8,72
raw_native,12.8,12.9,90
raw_native,12.9,13.0,80
raw_native,13.0,13.100000000000001,84
raw_native,13.100000000000001,13.200000000000001,87
raw_native,13.200000000000001,13.3,79
raw_native,13.3,13.4,82
raw_native,13.4,13.5,99
raw_native,13.5,13.600000000000001,103
raw_native,13.600000000000001,13.700000000000001,93
raw_native,13.700000000000001,13.8,102
raw_native,13.8,13.9,110
raw_native,13.9,14.0,139
raw_native,14.0,14.100000000000001,129
raw_native,14.100000000000001,14.200000000000001,158
raw_native,14.200000000000001,14.3,130
raw_native,14.3,14.4,114
raw_native,14.4,14.5,145
raw_native,14.5,14.600000000000001,147
raw_native,14.600000000000001,14.700000000000001,144
raw_native,14.700000000000001,14.8,170
raw_native,14.8,14.9,172
raw_native,14.9,15.0,172
raw_native,15.0,15.100000000000001,158
raw_native,15.100000000000001,15.200000000000001,171
