domain,Th_learned,accepted_events,accepted_events_per_s,accepted_score_mean,gt_events_recovered_one_to_one_any_template,gt_events_total,gt_event_recovery_fraction,first_peel_local_max_count_gt_threshold
raw_native,8.0,4279957,3566.630833333333,14.973283,161055,179366,0.8979126478819843,283680
raw_native,9.0,3491421,2909.5175,16.440584,151111,179366,0.8424729324398158,283656
raw_native,10.0,2939857,2449.880833333333,17.745838,140146,179366,0.7813409453296611,283557
raw_native,10.75,2619548,2182.9566666666665,18.647394,131743,179366,0.7344926017193895,283404
