domain,Th_learned,from_stage,to_stage,event_delta,cluster_delta,matched_gt_unit_delta,tp_delta,fn_delta,fp_in_matched_clusters_delta,events_in_unmatched_clusters_delta,gt_negative_events_any_unit_delta
raw_native,8.0,detection_template,final_clustering,0,37,0,392,-392,1232,-1624,0
raw_native,8.0,final_clustering,cluster_merging,0,-65,0,0,0,0,0,-1
raw_native,8.0,cluster_merging,duplicate_removal,-6415,0,0,0,0,-16,-6399,-6414
