domain,Th_learned,stage,events_present,events_removed,clusters,matched_gt_units,tp,fn,fp_in_matched_clusters,events_in_unmatched_clusters,pooled_precision,pooled_recall,template_learning_sort_identity
denoised,8.0,cluster_merging,10203192,0,649,8,125183,54183,80678,9997331,0.6080947824017177,0.6979193381131318,
denoised,8.0,detection_template,10203192,0,651,8,127103,52263,99669,9976420,0.5604880673098972,0.7086237079491097,
denoised,8.0,duplicate_removal,10184212,18980,649,8,125183,54183,80624,9978405,0.6082543353724607,0.6979193381131318,exact
denoised,8.0,final_clustering,10203192,0,726,8,125183,54183,80678,9997331,0.6080947824017177,0.6979193381131318,
raw_native,8.0,cluster_merging,4279957,0,567,7,97677,81689,31028,4151252,0.7589215648187716,0.5445680898275035,
raw_native,8.0,detection_template,4279957,0,595,7,97285,82081,29796,4152876,0.7655353672067422,0.5423826143193248,
raw_native,8.0,duplicate_removal,4273542,6415,567,7,97677,81689,31012,4144853,0.7590159221067846,0.5445680898275035,exact
raw_native,8.0,final_clustering,4279957,0,632,7,97677,81689,31028,4151252,0.7589215648187716,0.5445680898275035,
