domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,background,,23766347,7.0285454,6.690023,285,0.33852243
raw_native,background,,23771024,19.192091,14.634717,315,4.557374
raw_native,background,,23771046,18.363506,17.65727,189,0.7062359
raw_native,background,,23774841,14.178987,11.829664,6,2.3493223
raw_native,background,,23775006,13.853705,7.3156676,177,6.538038
raw_native,background,,23793421,26.483587,25.78783,454,0.6957569
raw_native,background,,23814035,19.079948,15.340071,407,3.7398777
raw_native,background,,23815904,10.910345,8.464009,362,2.4463358
raw_native,background,,23818031,7.0688586,5.986362,584,1.0824966
raw_native,gt,337.0,23788721,31.98355,26.402445,219,5.5811043
raw_native,gt,1143.0,23772058,19.335196,15.500683,39,3.8345127
raw_native,gt,1143.0,23797171,19.733835,15.816921,470,3.916914
raw_native,gt,1143.0,23799431,7.525973,5.973619,143,1.5523539
raw_native,background,,23839688,11.862811,11.387138,315,0.47567272
raw_native,background,,23843416,13.596318,13.479584,191,0.116734505
raw_native,background,,23849388,15.528624,11.495232,273,4.033392
raw_native,background,,23857413,14.053779,13.636397,252,0.4173813
raw_native,background,,23869656,10.342946,9.008727,59,1.334219
raw_native,background,,23876190,6.5441427,5.5006084,295,1.0435343
raw_native,gt,337.0,23834331,18.460821,17.163721,273,1.2971001
raw_native,gt,664.0,23835098,8.199334,8.107617,347,0.09171677
raw_native,gt,664.0,23850586,25.19565,21.422707,74,3.7729435
raw_native,gt,793.0,23825991,27.241837,25.453531,462,1.7883053
raw_native,gt,1129.0,23853371,7.6579494,7.2182326,135,0.43971682
raw_native,background,,23909546,23.956917,19.480581,192,4.4763355
raw_native,background,,23918513,7.360651,5.883884,63,1.4767671
raw_native,background,,23930836,8.587667,7.6196566,548,0.9680109
raw_native,gt,337.0,23891010,22.860043,18.693369,42,4.1666737
raw_native,gt,337.0,23902666,15.708973,13.463671,185,2.2453022
raw_native,gt,1143.0,23908948,20.282911,20.282585,257,0.00032615662
raw_native,gt,664.0,23904449,24.060074,21.377754,407,2.6823196
raw_native,gt,664.0,23935818,19.490925,18.993055,263,0.4978695
raw_native,gt,1122.0,23938501,14.82487,11.847412,426,2.977458
raw_native,gt,1129.0,23906558,13.8694105,7.8978834,72,5.971527
raw_native,background,,23949732,13.030164,10.493756,467,2.5364075
raw_native,background,,23970199,19.870773,17.608608,438,2.262165
raw_native,background,,23973287,5.577741,5.553289,568,0.02445221
raw_native,background,,23978308,5.4773636,5.2602396,346,0.21712399
raw_native,background,,23978403,7.17576,6.2349997,62,0.94076014
raw_native,background,,23981091,14.023944,12.948982,62,1.0749617
raw_native,background,,23990240,8.61734,8.050101,44,0.5672388
raw_native,background,,23997241,4.7514644,4.453806,78,0.29765844
raw_native,gt,2143.0,23958085,28.222713,17.01291,124,11.209803
raw_native,gt,2143.0,23977141,25.255608,18.896921,124,6.3586864
raw_native,gt,94.0,23980514,19.32346,18.220066,315,1.1033936
raw_native,gt,720.0,23968835,25.209366,23.68812,462,1.521246
raw_native,gt,793.0,23972734,33.00439,31.739553,453,1.2648373
raw_native,gt,793.0,23979006,29.748856,20.051779,301,9.697077
raw_native,background,,24000570,7.9733467,7.187444,293,0.7859025
raw_native,background,,24000602,7.066225,6.310902,75,0.75532293
raw_native,background,,24010668,14.3698225,13.759072,24,0.6107502
raw_native,background,,24020255,5.7899623,5.5944,311,0.19556236
