unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,4.8158793449401855,-11.618082523345947,12.53050980636828,-0.3755102324938648,1.7984185681184182,1.0,0.3734000027179718,0.9060999751091003,-12.906020038862144,-10.732091238249861,-0.6265999972820282
94,100,29,12,3.4893321990966797,1.1759783029556274,-2.3133538961410522,2.1674297179864177,0.13151947686747734,-0.301069208172959,0.9552500247955322,0.5375999808311462,0.4009000062942505,-2.0359102411189403,-2.4684989261593766,-0.417650043964386
337,100,274,4,4.1204514503479,1.137972116470337,-2.9824793338775635,3.1508394835087925,-0.30556201856179804,-0.08871171121300642,0.986299991607666,0.41065001487731934,0.4625000059604645,-3.4564015020705905,-3.2395511947217988,-0.5756499767303467
1143,100,134,7,6.047300815582275,1.8525620698928833,-4.194738745689392,5.323439750626826,-0.08121941136720781,0.2702178789906911,0.9993500113487244,0.48750001192092896,0.5783500075340271,-5.404659161994034,-5.053221871636135,-0.5118499994277954
720,100,172,6,3.3256125450134277,0.9009566903114319,-2.424655854701996,2.1755699332273646,0.011616813253470457,0.1787541159642049,0.9448500275611877,0.5103999972343445,0.5686500072479248,-2.163953119973894,-1.9968158172631596,-0.43445003032684326
664,100,221,3,3.72355318069458,1.0431756973266602,-2.68037748336792,1.0400025856645227,0.170108340070546,-0.28280919551063594,0.7771499752998352,0.5439000129699707,0.4097999930381775,-0.8698942455939768,-1.3228117811751587,-0.2332499623298645
1300,100,134,5,4.578506946563721,1.3689426183700562,-3.2095643281936646,4.074252488212588,-0.44682869969837,-0.38081400415571925,0.9939500093460083,0.360150009393692,0.3912999927997589,-4.5210811879109585,-4.455066492368307,-0.6337999999523163
1122,100,158,2,5.306804656982422,1.1615161895751953,-4.145288467407227,3.796643915047218,-0.451633619484114,-0.01304484454497294,0.9973499774932861,0.3711000084877014,0.48864999413490295,-4.248277534531332,-3.809688759592191,-0.6262499690055847
793,100,102,5,7.0905632972717285,2.548604726791382,-4.541958570480347,8.566411202380156,-1.3090449294510818,-0.7251361534719499,1.0,0.17739999294281006,0.2944999933242798,-9.875456131831237,-9.291547355852106,-0.8226000070571899
1129,100,122,7,3.9321558475494385,1.0992152690887451,-2.8329405784606934,2.144590069262506,0.11154856979478166,0.037609389391097196,0.9578499794006348,0.5058500170707703,0.5151500105857849,-2.0330414994677244,-2.1069806798714086,-0.4519999623298645
