raw_snr_rank,gt_unit_id,raw_template_snr,omission1_template_snr,template_snr_change,raw_precision_th_9_8,omission1_precision_th_9_10_75,precision_change
1,2143,16.4339618683,25.5855255127,9.15156364441,0.999990659094,0.999887923788,-0.000102735306
2,793,7.09056329727,12.5878515244,5.49728822708,0.999234917614,0.999374772539,0.000139854925
3,1143,6.04730081558,7.43315172195,1.38585090637,0.832635402849,0.761196864064,-0.071438538785
4,1122,5.30680465698,6.8425283432,1.53572368622,0.90563715321,0.898061226723,-0.007575926487
5,1300,4.57850694656,5.71189785004,1.13339090347,0.402669017615,0.56258938148,0.159920363865
6,337,4.12045145035,4.47411108017,0.353659629822,0.757239561747,0.628772785916,-0.128466775831
7,664,3.72355318069,5.19035100937,1.46679782867,0.953650965043,0.933330318993,-0.02032064605
