raw_snr_rank,gt_unit_id,raw_template_snr,input_template_snr,input_template_snr_change_from_raw,input,Th_universal,Th_learned,accuracy,precision,recall,true_positive_injected_spikes,false_negative_injected_spikes,false_positive_spikes_in_matched_cluster
1,2143,16.4339618683,16.4339618683,0,raw AP,9,8,0.999962637424,0.999990659094,0.999971977806,107055,3,1
1,2143,16.4339618683,16.4339618683,0,raw AP,9,10.75,0.999841232781,0.999841232781,1,107058,0,17
1,2143,16.4339618683,21.4221725464,4.9882106781,Full96 omission0,9,8,0.999990659356,0.999990659356,1,107058,0,1
1,2143,16.4339618683,21.4221725464,4.9882106781,Full96 omission0,9,10.75,0.999635721691,0.999971969166,0.999663733677,107022,36,3
1,2143,16.4339618683,25.5855255127,9.15156364441,Full96 omission1,9,8,0.998271997011,0.9999812869,0.998290646192,106875,183,2
1,2143,16.4339618683,25.5855255127,9.15156364441,Full96 omission1,9,9,0.99793573697,0.999981280595,0.997954379869,106839,219,2
1,2143,16.4339618683,25.5855255127,9.15156364441,Full96 omission1,9,10,0.999962638471,0.999962638471,1,107058,0,4
1,2143,16.4339618683,25.5855255127,9.15156364441,Full96 omission1,9,10.75,0.999887923788,0.999887923788,1,107058,0,12
1,2143,16.4339618683,25.5855255127,9.15156364441,Full96 omission1,10,9,0.992742387446,0.999981182669,0.992760933326,106283,775,2
2,793,7.09056329727,7.09056329727,0,raw AP,9,8,0.999206948993,0.999234917614,0.999971988534,107096,3,82
2,793,7.09056329727,7.09056329727,0,raw AP,9,10.75,0.999206689937,0.999561190574,0.999645188097,107061,38,47
2,793,7.09056329727,9.91679763794,2.82623434067,Full96 omission0,9,8,0.999701216609,0.999981320806,0.99971988534,107069,30,2
2,793,7.09056329727,9.91679763794,2.82623434067,Full96 omission0,9,10.75,0.999290846319,0.999337470256,0.999953314223,107094,5,71
2,793,7.09056329727,12.5878515244,5.49728822708,Full96 omission1,9,8,0.999747903867,0.99997198304,0.999775908272,107075,24,3
2,793,7.09056329727,12.5878515244,5.49728822708,Full96 omission1,9,9,0.999897295127,0.999962650332,0.999934639913,107092,7,4
2,793,7.09056329727,12.5878515244,5.49728822708,Full96 omission1,9,10,0.999729288215,0.999757286085,0.999971988534,107096,3,26
2,793,7.09056329727,12.5878515244,5.49728822708,Full96 omission1,9,10.75,0.999328145121,0.999374772539,0.999953314223,107094,5,67
2,793,7.09056329727,12.5878515244,5.49728822708,Full96 omission1,10,9,0.999775937561,0.999869284707,0.999906628447,107089,10,14
3,1143,6.04730081558,6.04730081558,0,raw AP,9,8,0.760839770252,0.832635402849,0.898205216936,96037,10884,19304
3,1143,6.04730081558,6.04730081558,0,raw AP,9,10.75,0.54980891489,0.945477480845,0.567811748861,60711,46210,3501
3,1143,6.04730081558,6.85401344299,0.806712627411,Full96 omission0,9,8,0.456828058694,0.501915515111,0.835673067031,89351,17570,88669
3,1143,6.04730081558,6.85401344299,0.806712627411,Full96 omission0,9,10.75,0.618329917573,0.755363669591,0.773159622525,82667,24254,26773
3,1143,6.04730081558,7.43315172195,1.38585090637,Full96 omission1,9,8,0.45357029065,0.496886288589,0.838787516016,89684,17237,90808
3,1143,6.04730081558,7.43315172195,1.38585090637,Full96 omission1,9,9,0.530666052477,0.601247090009,0.818856913048,87553,19368,58066
3,1143,6.04730081558,7.43315172195,1.38585090637,Full96 omission1,9,10,0.606142211308,0.704656236567,0.812581251578,86882,20039,36415
3,1143,6.04730081558,7.43315172195,1.38585090637,Full96 omission1,9,10.75,0.631365784145,0.761196864064,0.787310257106,84180,22741,26409
3,1143,6.04730081558,7.43315172195,1.38585090637,Full96 omission1,10,9,0.550884845773,0.621416455217,0.82916358807,88655,18266,54011
