unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9994913339614868,0.999995768070221,0.9991682289443699,0.9993963203043624,0.9905818700790405,1.0,0,1.0009363180648074,0.9848729372024536,0.9849230647087097
94,200,29,9,23.959999084472656,0.9987119436264038,0.9999052286148071,0.9956767160649586,0.9971352934376506,0.9777032136917114,1.0,0,1.0022515130163587,0.9619246125221252,0.9695966839790344
337,200,274,4,34.19499969482422,0.9981458187103271,0.9994300603866577,0.9963494641601508,0.99907581728319,0.9550444483757019,0.8888888888888888,0,1.0071349139778472,0.9158539175987244,0.9353054165840149
1143,200,134,7,35.27000045776367,0.9986034631729126,0.9999443292617798,0.9982609146384169,0.9985032489705725,0.9589561223983765,1.0,0,1.000338794316421,0.9471122026443481,0.9539685845375061
720,200,172,6,25.85999870300293,0.997550368309021,0.9997196793556213,0.9952128120651152,0.9917045966520491,0.8968212008476257,1.0,0,1.005954149192658,0.9538417458534241,0.9636635184288025
664,200,221,1,19.31999969482422,0.983092188835144,1.0,0.9849633538948225,,0.9038013219833374,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9980471730232239,0.9999035596847534,0.9972708628471412,0.999729893173946,0.9496008157730103,1.0,0,0.9960604251782611,0.9359017610549927,0.944855272769928
1122,200,158,2,31.939998626708984,0.9955034852027893,0.9999920129776001,0.994297967811492,0.9999999999999998,0.9252690076828003,1.0,0,1.0008196346007159,0.9716477394104004,0.9824116230010986
793,200,102,5,31.90999984741211,0.9987173080444336,0.9997894763946533,0.9973634949525232,0.999364286595632,0.9621455669403076,1.0,0,0.999658756777255,0.9551831483840942,0.9628136157989502
1129,200,122,6,22.7450008392334,0.9958329796791077,0.9992454648017883,0.9872586678881464,0.9569072153854288,0.840852677822113,1.0,0,0.9894817618564398,0.9091116786003113,0.9301043152809143
