Th_learned,domain,events,peel,score_mean,score_median,score_q10,score_q90,stage,status,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
8.0,denoised,47,0,21.05082321166992,20.425058364868164,15.776671409606934,28.507492065429688,duplicate_removal,fp_matched_cluster,13.050823211669918,7.776671409606934,12.425058364868164,20.507492065429688,False
8.0,denoised,170,1,19.02301979064941,18.72281837463379,15.26609706878662,22.36049461364746,duplicate_removal,fp_matched_cluster,11.02301979064941,7.266097068786619,10.722818374633789,14.360494613647461,True
8.0,denoised,371,2,18.42322158813477,17.992921829223633,14.799899101257324,22.244171142578125,duplicate_removal,fp_matched_cluster,10.42322158813477,6.799899101257324,9.992921829223633,14.244171142578125,True
8.0,denoised,645,3,17.924606323242188,17.788400650024414,14.285149574279783,21.576086044311523,duplicate_removal,fp_matched_cluster,9.924606323242188,6.285149574279783,9.788400650024414,13.576086044311523,True
8.0,denoised,916,4,17.156869888305664,17.060020446777344,13.66482925415039,20.74217796325684,duplicate_removal,fp_matched_cluster,9.156869888305664,5.664829254150391,9.060020446777344,12.74217796325684,True
8.0,denoised,1132,5,16.612539291381836,16.621360778808594,13.284975051879885,19.90098571777344,duplicate_removal,fp_matched_cluster,8.612539291381836,5.284975051879885,8.621360778808594,11.900985717773441,True
8.0,denoised,1311,6,16.094688415527344,15.968000411987305,12.956071853637695,19.27827835083008,duplicate_removal,fp_matched_cluster,8.094688415527344,4.956071853637695,7.968000411987305,11.278278350830082,True
8.0,denoised,1653,7,15.633949279785156,15.465312957763672,12.412970542907717,19.08403205871582,duplicate_removal,fp_matched_cluster,7.633949279785156,4.412970542907717,7.465312957763672,11.08403205871582,True
8.0,denoised,1688,8,15.148810386657717,14.98488426208496,12.037946701049805,18.402530670166016,duplicate_removal,fp_matched_cluster,7.148810386657717,4.037946701049805,6.984884262084959,10.402530670166016,True
8.0,denoised,1842,9,14.548015594482422,14.412738800048828,11.59462833404541,17.723962783813477,duplicate_removal,fp_matched_cluster,6.548015594482422,3.59462833404541,6.412738800048828,9.723962783813477,True
8.0,denoised,1933,10,14.166061401367188,13.963658332824709,11.362810134887695,17.264795303344727,duplicate_removal,fp_matched_cluster,6.1660614013671875,3.3628101348876953,5.963658332824709,9.264795303344727,True
8.0,denoised,2011,11,13.642136573791504,13.370294570922852,11.032835006713867,16.591949462890625,duplicate_removal,fp_matched_cluster,5.642136573791504,3.032835006713867,5.370294570922852,8.591949462890625,True
8.0,denoised,1938,12,13.162243843078612,12.872465133666992,10.7018404006958,15.971640586853027,duplicate_removal,fp_matched_cluster,5.1622438430786115,2.701840400695801,4.872465133666992,7.971640586853027,True
8.0,denoised,2006,13,12.851947784423828,12.543807983398438,10.616233825683594,15.554420471191406,duplicate_removal,fp_matched_cluster,4.851947784423828,2.6162338256835938,4.5438079833984375,7.554420471191406,True
8.0,denoised,2012,14,12.500448226928713,12.20102310180664,10.42368221282959,14.998234748840332,duplicate_removal,fp_matched_cluster,4.500448226928713,2.42368221282959,4.201023101806641,6.998234748840332,True
8.0,denoised,2032,15,12.132299423217772,11.839679718017578,10.149449348449709,14.49544906616211,duplicate_removal,fp_matched_cluster,4.132299423217772,2.149449348449709,3.839679718017578,6.495449066162109,True
8.0,denoised,2033,16,11.829022407531738,11.52661418914795,9.953612327575684,14.16908073425293,duplicate_removal,fp_matched_cluster,3.8290224075317383,1.9536123275756836,3.526614189147949,6.16908073425293,True
8.0,denoised,2017,17,11.523557662963867,11.302014350891112,9.860492706298828,13.49115753173828,duplicate_removal,fp_matched_cluster,3.523557662963867,1.8604927062988281,3.3020143508911115,5.4911575317382795,True
8.0,denoised,2018,18,11.264676094055176,11.03753662109375,9.644519805908203,13.134027481079102,duplicate_removal,fp_matched_cluster,3.264676094055176,1.6445198059082031,3.03753662109375,5.134027481079102,True
8.0,denoised,1951,19,11.015515327453612,10.812417984008787,9.51861572265625,12.768769264221191,duplicate_removal,fp_matched_cluster,3.0155153274536115,1.51861572265625,2.8124179840087873,4.768769264221191,True
8.0,denoised,1963,20,10.78276824951172,10.602912902832031,9.334440231323242,12.424985885620115,duplicate_removal,fp_matched_cluster,2.7827682495117205,1.3344402313232422,2.6029129028320312,4.424985885620115,True
8.0,denoised,1986,21,10.629436492919922,10.460545539855955,9.245737075805664,12.230402946472168,duplicate_removal,fp_matched_cluster,2.629436492919922,1.245737075805664,2.4605455398559553,4.230402946472168,True
8.0,denoised,1974,22,10.440425872802734,10.243888854980469,9.130002975463867,11.946008682250977,duplicate_removal,fp_matched_cluster,2.4404258728027344,1.1300029754638672,2.2438888549804688,3.9460086822509766,True
8.0,denoised,1924,23,10.217926025390623,10.01853847503662,9.012299537658691,11.715447425842283,duplicate_removal,fp_matched_cluster,2.2179260253906232,1.0122995376586914,2.0185384750366193,3.7154474258422834,True
8.0,denoised,1890,24,10.071859359741213,9.92719841003418,8.967934608459473,11.381712913513184,duplicate_removal,fp_matched_cluster,2.0718593597412127,0.9679346084594727,1.9271984100341797,3.3817129135131836,True
8.0,denoised,1811,25,9.93576717376709,9.813385009765623,8.787095069885254,11.211764335632324,duplicate_removal,fp_matched_cluster,1.9357671737670898,0.7870950698852539,1.8133850097656232,3.211764335632324,True
8.0,denoised,1842,26,9.817191123962402,9.647465705871582,8.755023956298828,11.076006889343262,duplicate_removal,fp_matched_cluster,1.8171911239624023,0.7550239562988281,1.647465705871582,3.0760068893432617,True
8.0,denoised,1842,27,9.688294410705566,9.56352424621582,8.650009155273438,10.854777336120604,duplicate_removal,fp_matched_cluster,1.6882944107055664,0.6500091552734375,1.5635242462158203,2.8547773361206037,True
8.0,denoised,1804,28,9.55778980255127,9.415531158447266,8.578862190246582,10.694522857666016,duplicate_removal,fp_matched_cluster,1.5577898025512695,0.578862190246582,1.4155311584472656,2.6945228576660156,True
8.0,denoised,1769,29,9.462414741516112,9.335001945495604,8.486983299255371,10.553322792053224,duplicate_removal,fp_matched_cluster,1.4624147415161115,0.4869832992553711,1.3350019454956037,2.5533227920532244,True
8.0,denoised,1792,30,9.34744930267334,9.235069274902344,8.454142570495605,10.388282775878906,duplicate_removal,fp_matched_cluster,1.3474493026733398,0.45414257049560547,1.2350692749023438,2.3882827758789062,True
8.0,denoised,1775,31,9.250285148620604,9.130000114440918,8.351757049560547,10.32957935333252,duplicate_removal,fp_matched_cluster,1.2502851486206037,0.3517570495605469,1.130000114440918,2.3295793533325195,True
8.0,denoised,1645,32,9.16786289215088,9.042346000671388,8.359367370605469,10.095562934875488,duplicate_removal,fp_matched_cluster,1.1678628921508807,0.35936737060546875,1.0423460006713885,2.0955629348754883,True
8.0,denoised,1659,33,9.097332954406738,8.996025085449219,8.307050704956055,9.998234748840332,duplicate_removal,fp_matched_cluster,1.0973329544067383,0.3070507049560547,0.9960250854492188,1.998234748840332,True
8.0,denoised,1728,34,9.01266098022461,8.901540756225586,8.257552146911621,9.852421760559082,duplicate_removal,fp_matched_cluster,1.0126609802246094,0.2575521469116211,0.9015407562255859,1.852421760559082,True
8.0,denoised,1643,35,8.957770347595215,8.823928833007812,8.209474563598633,9.8259859085083,duplicate_removal,fp_matched_cluster,0.9577703475952148,0.2094745635986328,0.8239288330078125,1.8259859085083008,True
8.0,denoised,1526,36,8.89111328125,8.783376693725586,8.22171401977539,9.671432495117188,duplicate_removal,fp_matched_cluster,0.89111328125,0.22171401977539062,0.7833766937255859,1.6714324951171875,True
8.0,denoised,1502,37,8.858399391174316,8.754964828491211,8.16281795501709,9.670503616333008,duplicate_removal,fp_matched_cluster,0.8583993911743164,0.16281795501708984,0.7549648284912109,1.6705036163330078,True
8.0,denoised,1424,38,8.780342102050781,8.626240730285645,8.148418426513672,9.62999439239502,duplicate_removal,fp_matched_cluster,0.7803421020507812,0.14841842651367188,0.6262407302856445,1.6299943923950195,True
8.0,denoised,1441,39,8.706445693969727,8.601940155029297,8.134159088134766,9.391304969787598,duplicate_removal,fp_matched_cluster,0.7064456939697266,0.13415908813476562,0.6019401550292969,1.3913049697875977,True
8.0,denoised,1401,40,8.700261116027832,8.560470581054688,8.126741409301758,9.44298267364502,duplicate_removal,fp_matched_cluster,0.700261116027832,0.1267414093017578,0.5604705810546875,1.4429826736450195,True
8.0,denoised,1257,41,8.632756233215332,8.51918888092041,8.093916893005371,9.309283256530762,duplicate_removal,fp_matched_cluster,0.632756233215332,0.0939168930053711,0.5191888809204102,1.3092832565307617,True
8.0,denoised,1206,42,8.602944374084473,8.493288040161133,8.09231948852539,9.244462966918944,duplicate_removal,fp_matched_cluster,0.6029443740844727,0.09231948852539062,0.4932880401611328,1.2444629669189435,True
8.0,denoised,1163,43,8.550029754638672,8.434438705444336,8.085968971252441,9.133703231811523,duplicate_removal,fp_matched_cluster,0.5500297546386719,0.0859689712524414,0.43443870544433594,1.1337032318115234,True
8.0,denoised,1104,44,8.555575370788574,8.428546905517578,8.08541202545166,9.136152267456056,duplicate_removal,fp_matched_cluster,0.5555753707885742,0.08541202545166016,0.4285469055175781,1.1361522674560565,True
8.0,denoised,987,45,8.538169860839844,8.402702331542969,8.074865341186523,9.136107444763184,duplicate_removal,fp_matched_cluster,0.5381698608398438,0.07486534118652344,0.40270233154296875,1.1361074447631836,True
8.0,denoised,950,46,8.507577896118164,8.40481948852539,8.074620246887207,9.07285213470459,duplicate_removal,fp_matched_cluster,0.5075778961181641,0.07462024688720703,0.4048194885253906,1.0728521347045898,True
8.0,denoised,849,47,8.480894088745117,8.377493858337402,8.071409225463867,9.04750156402588,duplicate_removal,fp_matched_cluster,0.4808940887451172,0.07140922546386719,0.37749385833740234,1.0475015640258807,True
8.0,denoised,777,48,8.45425033569336,8.337416648864746,8.05313491821289,9.03393268585205,duplicate_removal,fp_matched_cluster,0.4542503356933594,0.053134918212890625,0.3374166488647461,1.0339326858520508,True
8.0,denoised,728,49,8.448376655578613,8.340158462524414,8.05402660369873,8.965662956237793,duplicate_removal,fp_matched_cluster,0.4483766555786133,0.05402660369873047,0.34015846252441406,0.965662956237793,True
