unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.8056817650794983,0.9775540828704834,0.9792908034940457,-0.08884044001608692,0.9931625127792358,1.2,0,0.9372612363260644,0.9848729372024536,0.9419304132461548
94,200,29,9,23.959999084472656,0.996100127696991,0.9999061822891235,0.9920720464339463,0.9989147659823161,0.9849578738212585,1.0,0,1.001727787148571,0.9619246125221252,0.9670308232307434
337,200,274,4,34.19499969482422,0.9976463913917542,0.9990506172180176,0.9957976662621479,0.99953722740098,0.9525582790374756,0.8888888888888888,0,1.0085418764714504,0.9158539175987244,0.937294602394104
1143,200,134,7,35.27000045776367,0.9985592365264893,0.9999695420265198,0.9983683194108104,0.9977077476159146,0.9696516990661621,1.0,0,0.9986957595427691,0.9471122026443481,0.9548225402832031
720,200,172,6,25.85999870300293,0.9974008798599243,0.9997907876968384,0.9950775642775889,0.9915764933577104,0.9091176986694336,1.0,0,1.0047784624906808,0.9538417458534241,0.9650227427482605
664,200,221,1,19.31999969482422,0.9818544387817383,1.0,0.9836743993263225,,0.9056929349899292,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9979411959648132,0.9998447299003601,0.9973557334263067,0.9990548645253081,0.9615288376808167,1.0,0,0.9967752440674905,0.9359017610549927,0.9457082152366638
1122,200,158,2,31.939998626708984,0.06462967395782471,0.5074489116668701,0.9946719065125428,-0.9999999999999999,0.9362514615058899,1.0,0,0.4591563114149581,0.9716477394104004,0.9922677278518677
793,200,102,5,31.90999984741211,0.9983254075050354,0.9996815323829651,0.9971970629502805,0.9978303666409318,0.9758551716804504,1.0,0,0.9993587919001965,0.9551831483840942,0.9631611108779907
1129,200,122,6,22.7450008392334,0.9940752387046814,0.9992800951004028,0.9857047044488195,0.9563236665392372,0.8486053943634033,1.0,0,0.987867617370266,0.9091116786003113,0.9336631298065186
