unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,12.875472068786621,-3.5584897994995117,12.53050980636828,8.124103157078371,8.439615556674504,1.0,1.0,1.0,-4.406406649289908,-4.0908942496937755,0.0
94,100,29,12,3.4893321990966797,3.3520963191986084,-0.1372358798980713,2.1674297179864177,1.7937515748251598,1.7468047858325408,0.9552500247955322,0.909500002861023,0.9050999879837036,-0.3736781431612579,-0.42062493215387686,-0.04575002193450928
337,100,274,4,4.1204514503479,3.2168996334075928,-0.9035518169403076,3.1508394835087925,2.0599122630322646,2.055703397814183,0.986299991607666,0.9369000196456909,0.9409000277519226,-1.090927220476528,-1.0951360856946093,-0.0493999719619751
1143,100,134,7,6.047300815582275,6.844893455505371,0.7975926399230957,5.323439750626826,4.223277882058535,4.223794842384312,0.9993500113487244,0.9932000041007996,0.9929500222206116,-1.100161868568291,-1.0996449082425137,-0.006150007247924805
720,100,172,6,3.3256125450134277,2.230715274810791,-1.0948972702026367,2.1755699332273646,1.3901398860152778,1.3514089570177503,0.9448500275611877,0.8526999950408936,0.84170001745224,-0.7854300472120868,-0.8241609762096143,-0.09215003252029419
664,100,221,3,3.72355318069458,3.2863900661468506,-0.4371631145477295,1.040002597031785,0.6693683618476882,0.6750092719838235,0.7771499752998352,0.6769999861717224,0.68545001745224,-0.37063423518409677,-0.36499332504796145,-0.10014998912811279
1300,100,134,5,4.578506946563721,5.158865928649902,0.5803589820861816,4.074252488212588,3.044357342650753,2.9998328829731475,0.9939500093460083,0.9793999791145325,0.9786999821662903,-1.0298951455618353,-1.0744196052394406,-0.01455003023147583
1122,100,158,2,5.306804656982422,4.994524955749512,-0.31227970123291016,3.7966439129148744,2.5914116329353325,2.376200631017193,0.9973499774932861,0.9703500270843506,0.9599499702453613,-1.2052322799795419,-1.4204432818976813,-0.026999950408935547
793,100,102,5,7.0905632972717285,9.555163383483887,2.464600086212158,8.566411202380156,5.980264270346182,5.894598684945723,1.0,1.0,1.0,-2.586146932033974,-2.671812517434433,0.0
1129,100,122,7,3.9321558475494385,3.7308969497680664,-0.20125889778137207,2.144590069262506,1.7768371693222589,1.8677537886993132,0.9578499794006348,0.9071499705314636,0.9183499813079834,-0.36775289994024707,-0.27683628056319276,-0.05070000886917114
