domain,events_present_baseline,clusters_baseline,matched_gt_units_baseline,tp_baseline,fn_baseline,fp_in_matched_clusters_baseline,events_in_unmatched_clusters_baseline,pooled_precision_baseline,pooled_recall_baseline,events_present_target_decoy,clusters_target_decoy,matched_gt_units_target_decoy,tp_target_decoy,fn_target_decoy,fp_in_matched_clusters_target_decoy,events_in_unmatched_clusters_target_decoy,pooled_precision_target_decoy,pooled_recall_target_decoy,events_present_change,clusters_change,matched_gt_units_change,tp_change,fn_change,fp_in_matched_clusters_change,events_in_unmatched_clusters_change,pooled_precision_change,pooled_recall_change
denoised,10184212,649,8,125183,54183,80624,9978405,0.6082543353724607,0.6979193381131318,1062610,297,2,35082,144284,4,1027524,0.9998859944137264,0.1955889075967574,-9121602,-352,-6,-90101,90101,-80620,-8950881,0.39163165904126573,-0.5023304305163744
raw_native,4273542,567,7,97677,81689,31012,4144853,0.7590159221067846,0.5445680898275035,1243227,320,2,30920,148446,18,1212289,0.999418191221152,0.1723849559002263,-3030315,-247,-5,-66757,66757,-30994,-2932564,0.24040226911436746,-0.3721831339272772
