domain,peel,total_batches,accepting_batches,accepted_events,threshold_median,threshold_q10,threshold_q90,exact_fdr_max,accepting_batch_fraction
denoised_native_fdr,0,600,595.0,196746.0,33.48820877075195,28.97237396240234,42.257177734375,0.05,0.9916666666666667
denoised_native_fdr,1,595,595.0,227089.0,26.795812606811523,25.583523941040042,28.54732780456543,0.05,1.0
denoised_native_fdr,2,595,595.0,177455.0,25.73594665527344,24.37195663452148,27.087814331054688,0.05,1.0
denoised_native_fdr,3,595,591.0,128208.0,25.173725128173828,23.689558029174805,27.045812606811523,0.05,0.9932773109243698
denoised_native_fdr,4,591,561.0,90020.0,24.899383544921875,22.898366928100582,27.606115341186523,0.05,0.949238578680203
denoised_native_fdr,5,561,494.0,65117.0,24.33047389984131,21.95450382232666,27.47085361480713,0.05,0.8805704099821747
denoised_native_fdr,6,494,354.0,48698.0,23.370285034179688,20.89461727142334,26.311538314819334,0.05,0.7165991902834008
denoised_native_fdr,7,354,251.0,41164.0,22.01619911193848,19.75979804992676,24.98261070251465,0.05,0.7090395480225988
denoised_native_fdr,8,251,169.0,31865.0,20.73500633239746,18.820563888549806,23.572222518920896,0.05,0.6733067729083665
denoised_native_fdr,9,169,118.0,25434.0,19.4005069732666,18.194646263122557,21.85523815155029,0.05,0.6982248520710059
denoised_native_fdr,10,118,85.0,16859.0,18.871490478515625,17.485840606689454,20.709369659423828,0.05,0.7203389830508474
denoised_native_fdr,11,85,53.0,9297.0,18.363178253173828,17.36939239501953,19.70558738708496,0.05,0.6235294117647059
denoised_native_fdr,12,53,20.0,2642.0,17.94311809539795,17.455723571777344,19.2637077331543,0.05,0.37735849056603776
denoised_native_fdr,13,20,9.0,1511.0,17.114412307739258,16.510072708129883,18.452229690551757,0.0492957746478873,0.45
denoised_native_fdr,14,9,3.0,501.0,17.21926498413086,16.743724822998047,19.132099151611328,0.05,0.3333333333333333
denoised_native_fdr,15,3,1.0,204.0,17.54781723022461,17.54781723022461,17.54781723022461,0.0490196078431372,0.3333333333333333
denoised_native_fdr,16,1,0.0,0.0,,,,,0.0
raw_native_fdr,0,600,600.0,190903.0,27.64071559906006,24.72811851501465,31.228162574768067,0.05,1.0
raw_native_fdr,1,600,600.0,204788.0,22.313899040222168,21.13297634124756,24.092564964294436,0.05,1.0
raw_native_fdr,2,600,598.0,171785.0,20.616835594177246,19.179619789123535,22.305202865600585,0.05,0.9966666666666667
raw_native_fdr,3,598,581.0,147342.0,19.301044464111328,17.864646911621094,21.2609920501709,0.05,0.9715719063545151
raw_native_fdr,4,581,553.0,135714.0,18.083227157592773,16.721379852294923,20.20943717956543,0.05,0.9518072289156626
raw_native_fdr,5,553,526.0,122717.0,17.06222438812256,15.992682933807371,18.960705757141113,0.05,0.9511754068716094
raw_native_fdr,6,526,479.0,100424.0,16.46746253967285,15.212093544006349,18.15956039428711,0.05,0.9106463878326996
raw_native_fdr,7,479,394.0,68148.0,16.090950965881348,14.71127815246582,17.988968658447266,0.05,0.8225469728601252
raw_native_fdr,8,394,305.0,49929.0,15.61906623840332,14.392702674865722,16.97219581604004,0.05,0.7741116751269036
raw_native_fdr,9,305,211.0,29759.0,15.193010330200195,14.030903816223145,17.13743782043457,0.05,0.6918032786885245
raw_native_fdr,10,211,112.0,14504.0,14.850712776184082,13.798484325408937,16.37448654174805,0.05,0.5308056872037915
raw_native_fdr,11,112,42.0,5360.0,14.448153495788574,13.334355735778809,15.770864772796632,0.05,0.375
raw_native_fdr,12,42,12.0,1949.0,13.886891841888428,12.908210372924804,14.901473331451415,0.05,0.2857142857142857
raw_native_fdr,13,12,2.0,47.0,14.217793464660645,13.900980567932129,14.534606361389159,0.0454545454545454,0.16666666666666666
raw_native_fdr,14,2,0.0,0.0,,,,,0.0
