domain,Th_learned,stage,gt_unit_id,cluster_id,agreement,tp,fn,fp,num_gt,num_tested,accuracy,precision,recall,cluster_is_refractory,cluster_contamination
denoised_native_fdr,8.0,detection_template,664,-1,0.0,0,17936,0,17936,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,detection_template,1300,-1,0.0,0,17843,0,17843,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,detection_template,1122,-1,0.0,0,17880,0,17880,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,detection_template,793,138,0.9582009697375021,17193,747,3,17940,17196,0.9582009697375021,0.9998255408234473,0.9583612040133779,1.0,0.0
denoised_native_fdr,8.0,detection_template,1129,-1,0.0,0,18065,0,18065,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,2143,70,0.9870337673802693,17889,233,2,18122,17891,0.9870337673802693,0.9998882119501425,0.9871426994812934,1.0,0.0
denoised_native_fdr,8.0,final_clustering,94,-1,0.0,0,17856,0,17856,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,337,-1,0.0,0,18023,0,18023,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,1143,-1,0.0,0,17981,0,17981,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,720,-1,0.0,0,17720,0,17720,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,664,-1,0.0,0,17936,0,17936,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,1300,-1,0.0,0,17843,0,17843,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,1122,-1,0.0,0,17880,0,17880,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,final_clustering,793,64,0.9580941766508777,17193,747,5,17940,17198,0.9580941766508777,0.9997092685195953,0.9583612040133779,1.0,0.0
denoised_native_fdr,8.0,final_clustering,1129,-1,0.0,0,18065,0,18065,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,2143,66,0.9870337673802693,17889,233,2,18122,17891,0.9870337673802693,0.9998882119501425,0.9871426994812934,1.0,0.0
denoised_native_fdr,8.0,cluster_merging,94,-1,0.0,0,17856,0,17856,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,337,-1,0.0,0,18023,0,18023,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,1143,-1,0.0,0,17981,0,17981,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,720,-1,0.0,0,17720,0,17720,0,0.0,0.0,0.0,,
denoised_native_fdr,8.0,cluster_merging,664,-1,0.0,0,17936,0,17936,0,0.0,0.0,0.0,,
