unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,21.470191955566406,5.036230087280273,12.53050980636828,12.874249866880529,12.872748678001367,1.0,1.0,1.0,0.3437400605122498,0.3422388716330875,0.0
94,100,29,12,3.4893321990966797,3.7117257118225098,0.22239351272583008,2.1674297179864177,2.0250372372126866,2.0593041262382585,0.9552500247955322,0.9449999928474426,0.9474499821662903,-0.14239248077373112,-0.10812559174815917,-0.0102500319480896
337,100,274,4,4.1204514503479,4.272111415863037,0.15165996551513672,3.1508394835087925,2.947322989002652,2.979112791892039,0.986299991607666,0.982200026512146,0.9830999970436096,-0.2035164945061405,-0.1717266916167537,-0.0040999650955200195
1143,100,134,7,6.047300815582275,6.7854695320129395,0.7381687164306641,5.323439750626826,5.125689440629508,5.144577715557061,0.9993500113487244,0.9978500008583069,0.9983000159263611,-0.19775030999731769,-0.1788620350697654,-0.0015000104904174805
720,100,172,6,3.3256125450134277,3.280958652496338,-0.044653892517089844,2.1755699332273646,2.0133921040753786,2.0603152491777093,0.9448500275611877,0.9308500289916992,0.934499979019165,-0.16217782915198597,-0.11525468404965533,-0.013999998569488525
664,100,221,3,3.72355318069458,4.371222972869873,0.647669792175293,1.0400025856645227,0.9528635537664398,0.9813472951949629,0.7771499752998352,0.7567999958992004,0.7644500136375427,-0.08713903189808292,-0.05865529046955986,-0.020349979400634766
1300,100,134,5,4.578506946563721,5.152763843536377,0.5742568969726562,4.074252488212588,3.8369343528205064,3.8570495475093236,0.9939500093460083,0.9917500019073486,0.9927999973297119,-0.23731813539208169,-0.2172029407032645,-0.002200007438659668
1122,100,158,2,5.306804656982422,6.045374393463135,0.7385697364807129,3.796643915047218,3.5772123190549343,3.583284233436906,0.9973499774932861,0.9959999918937683,0.9962499737739563,-0.21943159599228368,-0.21335968161031182,-0.0013499855995178223
793,100,102,5,7.0905632972717285,10.117968559265137,3.027405261993408,8.566411202380156,8.469458908944075,8.534006468775155,1.0,1.0,1.0,-0.0969522934360807,-0.0324047336050004,0.0
1129,100,122,7,3.9321558475494385,4.186643600463867,0.2544877529144287,2.144590069262506,1.9077349890898792,1.9790306082648474,0.9578499794006348,0.9377999901771545,0.9448500275611877,-0.2368550801726268,-0.1655594609976585,-0.020049989223480225
