unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,5.976219177246094,-10.457742691040039,12.53050980636828,2.80292757603885,-0.9729797227949006,1.0,0.9821500182151794,0.2370000034570694,-9.727582230329428,-13.50348952916318,-0.017849981784820557
94,100,29,12,3.4893321990966797,1.2207369804382324,-2.2685952186584473,2.1674297179864177,-0.16837476171572016,0.11688326127842459,0.9552500247955322,0.4627000093460083,0.5321499705314636,-2.335804479702138,-2.050546456707993,-0.4925500154495239
337,100,274,4,4.1204514503479,1.0915534496307373,-3.028898000717163,3.1508394835087925,0.2926170396939555,0.007248062950369957,0.986299991607666,0.6424999833106995,0.47929999232292175,-2.858222443814837,-3.1435914205584226,-0.34380000829696655
1143,100,134,7,6.047300815582275,1.9073562622070312,-4.139944553375244,5.323439750626826,0.7124622771061232,-0.6607931003304479,0.9993500113487244,0.7376999855041504,0.32030001282691956,-4.610977473520703,-5.984232850957274,-0.261650025844574
720,100,172,6,3.3256125450134277,1.0054497718811035,-2.320162773132324,2.1755699332273646,0.08678504736894464,-0.3084119648433259,0.9448500275611877,0.5121250152587891,0.39730000495910645,-2.08878488585842,-2.4839818980706907,-0.4327250123023987
664,100,221,3,3.72355318069458,1.0168131589889526,-2.7067400217056274,1.0400025856645227,0.14954817058201939,0.34963970820366874,0.7771499752998352,0.5618000030517578,0.5694000124931335,-0.8904544150825033,-0.690362877460854,-0.2153499722480774
1300,100,134,5,4.578506946563721,0.9632190465927124,-3.6152878999710083,4.074252488212588,0.3871789596450415,-0.11101100335431803,0.9939500093460083,0.6231499910354614,0.4670499861240387,-3.6870735285675464,-4.185263491566906,-0.3708000183105469
1122,100,158,2,5.306804656982422,1.027459979057312,-4.27934467792511,3.796643915047218,0.4271304095126068,-0.308048690590759,0.9973499774932861,0.6242499947547913,0.41609999537467957,-3.369513505534611,-4.104692605637977,-0.3730999827384949
793,100,102,5,7.0905632972717285,2.6947569847106934,-4.395806312561035,8.566411202380156,2.195129818708235,-0.2816680529701163,1.0,0.9333999752998352,0.41119998693466187,-6.371281383671921,-8.848079255350273,-0.0666000247001648
1129,100,122,7,3.9321558475494385,1.08852219581604,-2.8436336517333984,2.144590069262506,0.28883861231374386,-0.25379207574421214,0.9578499794006348,0.5907999873161316,0.424699991941452,-1.855751456948762,-2.398382145006718,-0.3670499920845032
