unit_id,n,peak_ch,n_ch,peakSNRamp,temporal_cos,spatial_cos,temporal_corr,spatial_corr,amp_ratio,fwhm_ratio,lag,spread_ratio,rank1_raw,rank1_deep
2143,200,114,3,83.04000091552734,0.9995725154876709,0.9999878406524658,0.9993285862377209,0.9986811711279279,0.9884976744651794,1.0,0,0.9998707454379168,0.9848729372024536,0.9848231673240662
94,200,29,9,23.959999084472656,0.9983116388320923,0.9999490976333618,0.9956193806038399,0.9979178649960486,0.9726580381393433,1.0,0,1.000920346882689,0.9619246125221252,0.9686837792396545
337,200,274,4,34.19499969482422,0.9981258511543274,0.9993934631347656,0.9964815355370036,0.9989651405766009,0.9480642080307007,0.8888888888888888,0,1.008487617418451,0.9158539175987244,0.9364266991615295
1143,200,134,7,35.27000045776367,0.9987223744392395,0.9999591708183289,0.9984839943171739,0.9983373679474548,0.9632227420806885,1.0,0,0.9992396657287499,0.9471122026443481,0.9537398815155029
720,200,172,6,25.85999870300293,0.9975219964981079,0.999748945236206,0.9954387705856143,0.9905364580774823,0.8931068778038025,1.0,0,1.0067914326603788,0.9538417458534241,0.9644505381584167
664,200,221,1,19.31999969482422,0.9848893880844116,1.0,0.9864575042517698,,0.9099063277244568,0.875,0,0.0,1.0,1.0
1300,200,134,5,26.01500129699707,0.9981629252433777,0.9997848272323608,0.9973563703715173,0.9988979180209289,0.9511056542396545,1.0,0,0.9948207171297955,0.9359017610549927,0.9447362422943115
1122,200,158,2,31.939998626708984,0.996268630027771,0.9999908208847046,0.9956175177268975,0.9999999999999998,0.9340099096298218,1.0,0,0.9981632737478229,0.9716477394104004,0.9825538992881775
793,200,102,5,31.90999984741211,0.9987720251083374,0.9997135400772095,0.9977820937494261,0.9981112331800467,0.9714263677597046,1.0,0,0.9966517983972428,0.9551831483840942,0.9627291560173035
1129,200,122,6,22.7450008392334,0.9939713478088379,0.999218761920929,0.9858100262952414,0.9518654144330783,0.8231120705604553,1.0,0,0.9876099337913906,0.9091116786003113,0.9306246638298035
