unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,25.630348205566406,9.196386337280273,12.53050980636828,13.110659852098767,13.16661263880164,1.0,1.0,1.0,0.5801500457304876,0.6361028324333606,0.0
94,100,29,12,3.4893321990966797,3.4639811515808105,-0.02535104751586914,2.1674297179864177,2.0075238984621517,2.0216913520688404,0.9552500247955322,0.9412999749183655,0.943149983882904,-0.15990581952426597,-0.14573836591757727,-0.013950049877166748
337,100,274,4,4.1204514503479,4.1428751945495605,0.022423744201660156,3.1508394835087925,2.7335785538772464,2.7523848373589,0.986299991607666,0.9751999974250793,0.9772499799728394,-0.41726092963154615,-0.39845464614989234,-0.01109999418258667
1143,100,134,7,6.047300815582275,7.338792324066162,1.2914915084838867,5.323439750626826,4.945836073127252,4.95220574941939,0.9993500113487244,0.9970499873161316,0.9973999857902527,-0.37760367749957435,-0.3712340012074362,-0.0023000240325927734
720,100,172,6,3.3256125450134277,2.9485671520233154,-0.3770453929901123,2.1755699332273646,1.7859268680248739,1.850724005607312,0.9448500275611877,0.9071000218391418,0.9135000109672546,-0.3896430652024907,-0.3248459276200526,-0.0377500057220459
664,100,221,3,3.72355318069458,4.811191082000732,1.0876379013061523,1.0400025856645227,0.9067481730438047,0.9379250726968137,0.7771499752998352,0.746150016784668,0.754800021648407,-0.13325441262071802,-0.10207751296770906,-0.030999958515167236
1300,100,134,5,4.578506946563721,5.47525691986084,0.8967499732971191,4.074252488212588,3.594564200617515,3.6222042507940864,0.9939500093460083,0.9879500269889832,0.9899500012397766,-0.479688287595073,-0.45204823741850175,-0.0059999823570251465
1122,100,158,2,5.306804656982422,6.19538688659668,0.8885822296142578,3.796643915047218,3.2846950068925636,3.157947374326659,0.9973499774932861,0.9900500178337097,0.9890999794006348,-0.5119489081546544,-0.6386965407205589,-0.007299959659576416
793,100,102,5,7.0905632972717285,12.714349746704102,5.623786449432373,8.566411202380156,8.654660430682563,8.685098514929258,1.0,1.0,1.0,0.08824922830240745,0.11868731254910259,0.0
1129,100,122,7,3.9321558475494385,4.055566310882568,0.12341046333312988,2.144590069262506,1.7207592205362632,1.8125659455557699,0.9578499794006348,0.9146000146865845,0.9258999824523926,-0.42383084872624277,-0.33202412370673606,-0.04324996471405029
