unit_id,n_spikes,peak_ch,n_ch,snr_raw,snr_deep,dsnr,dprime_raw,dprime_deep,dprime_deep_fixed,auc_raw,auc_deep,auc_deep_fixed,ddprime,ddprime_fixed,dauc
2143,100,114,3,16.433961868286133,25.496414184570312,9.06245231628418,12.53050980636828,13.062573490246876,13.095301260763938,1.0,1.0,1.0,0.5320636838785973,0.5647914543956585,0.0
94,100,29,12,3.4893321990966797,3.452566146850586,-0.03676605224609375,2.1674297179864177,1.9410060736421786,1.9865254841349638,0.9552500247955322,0.9359999895095825,0.939300000667572,-0.22642364434423912,-0.18090423385145393,-0.019250035285949707
337,100,274,4,4.1204514503479,4.170051574707031,0.04960012435913086,3.1508394835087925,2.7477427889696195,2.7758061661896214,0.986299991607666,0.975600004196167,0.9777500033378601,-0.40309669453917296,-0.3750333173191711,-0.010699987411499023
1143,100,134,7,6.047300815582275,7.26583194732666,1.2185311317443848,5.323439750626826,4.954418680282033,4.956818551747117,0.9993500113487244,0.9973499774932861,0.9974499940872192,-0.36902107034479315,-0.36662119887970945,-0.0020000338554382324
720,100,172,6,3.3256125450134277,2.9624204635620117,-0.363192081451416,2.1755699332273646,1.79359396344234,1.8681374051500697,0.9448500275611877,0.90829998254776,0.9162999987602234,-0.3819759697850247,-0.30743252807729493,-0.036550045013427734
664,100,221,3,3.72355318069458,4.551518440246582,0.827965259552002,1.040002597031785,0.8690981716586916,0.8952980051478262,0.7771499752998352,0.73785001039505,0.7436000108718872,-0.17090442537309336,-0.1447045918839588,-0.039299964904785156
1300,100,134,5,4.578506946563721,5.486509323120117,0.9080023765563965,4.074252488212588,3.561301031364557,3.5948724837120154,0.9939500093460083,0.9879500269889832,0.989799976348877,-0.5129514568480311,-0.4793800045005727,-0.0059999823570251465
1122,100,158,2,5.306804656982422,6.33816385269165,1.0313591957092285,3.7966439129148744,3.3224022395997475,3.213391006059046,0.9973499774932861,0.9907000064849854,0.9904000163078308,-0.4742416733151269,-0.5832529068558285,-0.006649971008300781
793,100,102,5,7.0905632972717285,12.366683959960938,5.276120662689209,8.566411202380156,8.661022153361666,8.694932662523177,1.0,1.0,1.0,0.09461095098150984,0.12852146014302157,0.0
1129,100,122,7,3.9321558475494385,4.023122310638428,0.09096646308898926,2.144590069262506,1.655496436987097,1.7781898216610208,0.9578499794006348,0.9059000015258789,0.9232500195503235,-0.4890936322754089,-0.36640024760148515,-0.05194997787475586
