gt_unit_id,accuracy_8,precision_8,recall_8,true_positive_injected_spikes_8,false_positive_spikes_in_matched_cluster_8,accuracy_9,precision_9,recall_9,true_positive_injected_spikes_9,false_positive_spikes_in_matched_cluster_9,delta_accuracy,delta_precision,delta_recall,delta_true_positive_injected_spikes,delta_false_positive_spikes_in_matched_cluster
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0.506710889137,0.554244668803,0.855245696342,91513,73600,0.5118707447,0.579858798455,0.813629651782,87060,63080,0.00515985556218,0.0256141296522,-0.0416160445599,-4453,-10520
664,0.554654333345,0.681099592273,0.749226063929,80350,37621,0.563233128733,0.833082504374,0.634879340569,68087,13642,0.00857879538802,0.151982912102,-0.11434672336,-12263,-23979
720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,0.999747903867,0.99997198304,0.999775908272,107075,3,0.999897295127,0.999962650332,0.999934639913,107092,4,0.000149391259779,-9.33270798831e-06,0.000158731640818,17,1
1122,0.598136294728,0.628429668489,0.925418838421,99427,58788,0.689429612271,0.761746509321,0.878965003723,94436,29537,0.0912933175429,0.133316840831,-0.0464538346984,-4991,-29251
1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,0.45357029065,0.496886288589,0.838787516016,89684,90808,0.530666052477,0.601247090009,0.818856913048,87553,58066,0.0770957618265,0.10436080142,-0.0199306029685,-2131,-32742
1300,0.391633342693,0.447772347103,0.75750056184,80895,99766,0.42179749901,0.527187793325,0.678449696606,72453,64980,0.0301641563172,0.0794154462216,-0.0790508652334,-8442,-34786
2143,0.998271997011,0.9999812869,0.998290646192,106875,2,0.99793573697,0.999981280595,0.997954379869,106839,2,-0.000336260041099,-6.3053660071e-09,-0.000336266322928,-36,0
